Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
EVOLUTION MINING LTD,B3X0F91,"482,118","2,318,987",0.22%
EVONIK INDUSTRIES AG EVONIK INDUSTRIES A,B5ZQ9D3,84,"2,348",0.00%
EVT LTD,BDG0N49,"18,341","208,718",0.02%
EXACT SCIENCES CORP COM USD0.01,2719951,"3,473","315,176",0.03%
EXELON CORP COM,2670519,210,"12,772",0.00%
EXOR NV,BMJ1825,12,"1,822",0.00%
EXPAND ENERGY CORP,BMZ5LZ5,46,"7,393",0.00%
EXPEDIA INC-W/I COM,B748CK2,45,"13,614",0.00%
EXPEDITORS INTL WASH INC COM,2325507,41,"7,365",0.00%
EXPERIAN PLC,B19NLV4,195,"13,567",0.00%
EXTRA SPACE STORAGE INC COM USD0.01,B02HWR9,44,"10,721",0.00%
EXXON MOBIL CORP COM,2326618,"3,905","678,457",0.06%
EZAKI GLICO CO LTD NPV,6327703,"1,714","82,702",0.01%
F5 INC,2427599,11,"4,476",0.00%
FACTSET RESEARCH SYSTEMS INC COM USD0.01,2329770,"1,340","1,039,506",0.10%
FAIR ISAAC & CO INC COM,2330299,5,"17,387",0.00%
FAIRFAX FINANCIAL HLDGS LTD,2566351,140,"313,411",0.03%
FALCON METALS LTD/AUSTRALIA,BMDVXZ9,"7,550",868,0.00%
FANUC CORP,6356934,201,"8,605",0.00%
FARASIS ENERGY GAN ZHOU CO-A,BNHPNL0,"2,623","6,693",0.00%
FAST RETAILING CO LTD NPV,6332439,39,"21,590",0.00%
FASTENAL CO,2332262,114,"13,205",0.00%
FASTIGHETS AB BALDER-B SHRS,BPMRNZ9,113,"1,264",0.00%
FAURECIA EUR7,4400446,72,"1,041",0.00%
FEDEX CORP COM,2142784,56,"25,427",0.00%
FERGUSON ENTERPRISES INC,BS6VHW3,"1,063","298,032",0.03%
FERRARI NV RACE,BD6G507,30,"20,825",0.00%
FERROGLOBE PLC,BYW6GV6,"55,296","339,377",0.03%
FERROGLOBE REPRESENTSTION &,BBG00F9W7QW6 (Bloomberg),146,0,0.00%
FERROVIAL SE,BRS7CF0,95,"6,429",0.00%
FICONT INDUSTRY BEIJING IN-A,BMF7P04,101,630,0.00%
FIDELITY NATIONAL INFO SERV,2769796,"7,196","938,783",0.09%
FIFTH THIRD BANCORP COM,2336747,128,"8,753",0.00%
FINECOBANK SPA,BNGN9Z1,289,"8,105",0.00%
FIREFINCH LTD,BKPJ9T3,"228,920","45,784",0.00%
FIREFLY METALS LTD,BPDXXB2,"166,165","153,703",0.01%
FIRST ABU DHABI BANK PJSC,6624471,"61,918","374,094",0.04%
FIRST CITIZENS BCSHS  -CL A,2355582,3,"9,273",0.00%
FIRST QUANTUM MINERALS LTD COM,2347608,"10,293","214,184",0.02%
FIRST SOLAR INC COM STK USD0.001,B1HMF22,25,"6,988",0.00%
FIRSTCASH HOLDINGS INC,BMF5Q83,384,"64,265",0.01%
FIRSTENERGY CORP COM,2100920,103,"6,636",0.00%
FIRSTSERVICE CORP,BJMKSJ5,-1,-413,0.00%
FISERV INC,2342034,"3,520","1,167,921",0.11%
FISHER & PAYKEL HEALTHCARE C,6340250,142,"4,938",0.00%
FISHER & PAYKEL HEALTHCARE C NPV,6423968,"112,536","3,933,133",0.37%
FLEETPARTNERS GROUP LTD,BN7HDZ0,"54,180","145,743",0.01%
FLETCHER BUILDING LTD NPV,6341617,"551,874","1,407,279",0.13%
FLIGHT CENTRE TRAVEL GROUP LTD,6352147,"37,533","626,047",0.06%
FLUTTER ENTERTAINMENT PLC,BWXC0Z1,"3,254","1,363,748",0.13%
FLUTTER ENTERTAINMENT PLC,BWZMZF4,40,"16,759",0.00%
FNF GROUP,BNBRDD4,102,"9,255",0.00%
FOMENTO ECONOMICO MEXICANO SAB,2246039,"1,524","210,394",0.02%
FORAN MINING CORPORATION,2355731,"5,197","22,935",0.00%
FORD MOTOR CO,2615468,857,"13,699",0.00%
FORTESCUE LTD,6086253,"109,107","1,991,198",0.19%
FORTINET INC COM USD0.001,B5B2106,149,"22,751",0.00%
FORTIS INC COM NPV,2347200,105,"7,057",0.00%
FORTUM OYJ,5579550,122,"2,758",0.00%
FORTUNE BRANDS HOME & SECURI USD0.01,B3MC7D6,"4,203","463,801",0.04%
FOX CORP - CLASS A - W/I,BJJMGL2,68,"5,350",0.00%
FOX CORP- CLASS B,BJJMGY5,20,"1,441",0.00%
FOXCONN INDUSTRIAL INTERNE-A,BG20N99,"17,307","81,862",0.01%
FOXTONS GROUP PLC FOXT,BCKFY51,"177,428","247,639",0.02%
FRANCO-NEVADA CORP COM NPV,B29NF31,35,"6,595",0.00%
FRANKLIN RESOURCES INC,2350684,92,"3,013",0.00%
FRASERS GROUP PLC,B1QH8P2,"2,686","33,093",0.00%
FREEPORT-MCMORAN INC,2352118,"13,292","817,524",0.08%
FRESENIUS MEDICAL CARE AG,5129074,54,"3,992",0.00%
FRESENIUS SE & CO KGAA,4352097,82,"4,594",0.00%
FUJI ELECTRIC CO LTD,6356365,65,"5,729",0.00%
FUJI MEDIA HOLDINGS INC,6036582,"6,497","115,612",0.01%
FUJIAN FOXIT SOFTWARE DEVE-A,BQWRBS5,"1,218","17,992",0.00%
FUJIFILM HOLDINGS CORP,6356525,217,"7,393",0.00%
FUJIKURA LIMITED,6356707,53,"3,536",0.00%
FUTU HOLDINGS LTD-ADR,BGK4T39,13,"1,653",0.00%
FUYAO GROUP GLASS INDUSTR-A,BP3R6K4,"14,163","194,428",0.02%
G5 ENTERTAINMENT AB G5EN,B1FP6W0,561,"9,013",0.00%
G8 EDUCATION LTD NPV,B296314,"1,210,359","1,579,519",0.15%
GALAXY ENTERTAINMENT GROUP L,6465874,600,"4,119",0.00%
GALDERMA GROUP AG,BRC2T72,20,"3,501",0.00%
GALP ENERGIA SGPS SA-B SHRS,B1FW751,97,"2,592",0.00%
GAMING AND LEISURE PROPE-W/I COM USD0.01,BFPK4S5,77,"5,969",0.00%
GARMIN LTD,B3Z5T14,40,"13,461",0.00%
GARTNER INC COM STK USD0.0005,2372763,18,"13,790",0.00%
GATES INDUSTRIAL CORP PLC GTES,BD9G2S1,"18,554","616,428",0.06%
GAZPROM OAO GAZP,B59L4L7,"4,451",0,0.00%
GAZTRANSPORT ET TECHNIGA-W/I EUR0.01,BJYRDP5,"1,301","279,920",0.03%
GD POWER DEVELOPMENT CO -A,BP3R3J2,"35,800","36,072",0.00%
GDI PROPERTY GROUP NPV(STAPLED UNITS),BHB0NV9,"262,814","151,118",0.01%
GE HEALTHCARE TECHNOLOG-W/I,BL6JPG8,101,"12,781",0.00%
GE VERNOVA LLC,BP6H4Y1,59,"31,253",0.00%
GEA GROUP AG AKT,4557104,60,"4,776",0.00%
GEBERIT AG-REG CHF1(REGD),B1WGG93,8,"7,097",0.00%
GECINA SA EUR7.50,7742468,4,606,0.00%
GEM DIAMONDS LTD ORD USD0.01 (DI),B1P8H48,"53,192","11,835",0.00%
GEN DIGITAL INC,BJN4XN5,112,"4,970",0.00%
GENERAL ELECTRIC CO,BL59CR9,"1,053","283,769",0.03%
GENERAL MLS INC COM,2367026,125,"12,920",0.00%
GENERAL MOTORS CO,B665KZ5,326,"28,015",0.00%
GENERATION DEVELOPMENT GROUP,BF42CQ6,"54,918","197,704",0.02%
GENESIS MINERALS LTD,B23G0X1,"759,258","1,875,367",0.18%
GENMAB A/S DKK1 (BEARER),4595739,15,"5,128",0.00%
GENPACT LTD COM STK USD0.01,B23DBK6,"5,540","384,316",0.04%
GENTING MALAYSIA BHD,B1VXKN7,"93,273","76,140",0.01%
GENTING SINGAPORE LTD GRNS,BDRTVP2,"2,345","2,124",0.00%
GENTRACK GROUP LTD GTK,BNJZLK3,"11,012","127,635",0.01%
GENUINE PARTS CO COM,2367480,30,"5,746",0.00%
GENUSPLUS GROUP LTD,BMCQZF9,"24,549","64,318",0.01%
GETINGE AB-B SHS SER'B'NPV,7698356,66,"1,757",0.00%
GF SECURITIES CO LTD-A,BD5CQ36,"72,446","258,353",0.02%
GFL ENVIRONMENTAL INC-SUB VT,BKDT649,43,"3,115",0.00%
GIANTEC SEMICONDUCTOR CORP-A,BNHNC73,91,"1,175",0.00%
GIGADEVICE SEMICONDUCTOR B-A,BHWLWF8,207,"4,860",0.00%
GILDAN ACTIVEWEAR INC,2254645,71,"5,425",0.00%
GILEAD SCIENCES INC COM,2369174,271,"40,436",0.00%
GIVAUDAN-REG ORD,5980613,2,"13,554",0.00%
GJENSIDIGE FORSIKRING ASA NOK2,B4PH0C5,26,733,0.00%
GLENCORE PLC,B4T3BW6,"34,941","249,773",0.02%
GLOBAL PAYMENTS INC COM STK USD0.001,2712013,"1,640","296,763",0.03%
GLOBAL-E ONLINE LTD,BN770J3,20,"1,802",0.00%
GLOBALWAFERS CO LTD,BS7JP33,"9,224","173,359",0.02%
GLOBE TELECOM INC,6284864,"1,153","70,307",0.01%
GLOBUS MEDICAL INC - A GLOBUS MEDICAL IN,B7D65M0,"4,859","649,159",0.06%
GLODON CO LTD-A,BD5CK01,"7,634","19,749",0.00%
GMO PAYMENT GATEWAY INC NPV,B06CMQ9,"4,248","347,976",0.03%
GODADDY INC - CLASS A GDDY,BWFRFC6,48,"15,414",0.00%
GOERTEK INC -A,BD5CNT1,"8,482","48,164",0.00%
GOLAR LNG LTD COM STK USD1.00,2367963,"2,894","197,776",0.02%
GOLD FIELDS LTD ZAR0.50,6280215,"5,526","116,874",0.01%
GOLD ROAD RESOURCES LTD NPV,B15F5K1,-237,-485,0.00%
GOLDEN OCEAN GROUP LTD,BYN8774,"7,218","104,460",0.01%
GOLDMAN SACHS GROUP IN COM,2407966,74,"67,992",0.01%
GOODMAN GROUP,B03FYZ4,"183,845","6,552,223",0.62%
GPT GROUP NPV (STAPLED SECURITIES),6365866,"60,706","265,287",0.03%
GRAB HOLDINGS LTD - CL A,BP6NH40,429,"3,273",0.00%
GRACO INC COM,2380443,58,"7,899",0.00%
GRAINCORP LTD-A,6102331,"10,833","79,517",0.01%
GRAINGER (W.W) INC COM,2380863,10,"16,597",0.00%
GREAT WALL MOTOR CO LTD-A,BP3R325,"4,810","27,860",0.00%
GREAT WALL MOTOR COMPANY-H,6718255,"194,133","551,374",0.05%
GREAT-WEST LIFECO INC COM,2384951,91,"4,885",0.00%
GREE ELECTRIC APPLIANCES I-A,BD5CPN9,"6,326","63,249",0.01%
GRIFOLS SA,BYY3DX6,51,785,0.00%
GROUPE BRUXELLES LAMBERT SA NPV,7097328,40,"4,394",0.00%
GROUPE EUROTUNNEL SE,B292JQ9,51,"1,322",0.00%
GROWTHPOINT PROPERTIES AUSTRALIA,B1Y9BC8,"76,308","181,614",0.02%
GRUPO AEROPORTUARIO DEL-B SH SER 'B' NPV,B0ZV104,"59,952","1,706,948",0.16%
GRUPO CARSO SAB DE CV-SER A1 COM SER'A1',2393452,"4,478","40,101",0.00%
GRUPO FINANCIERO BANORTE SAB D,2421041,"119,800","1,246,689",0.12%
GRUPO MEXICO SAB DE CV-SER B SER'B'COM N,2643674,"53,038","407,576",0.04%
GSK PLC,BN7SWP6,880,"23,968",0.00%
GUANGDONG HAID GROUP CO-A,BD5CJ60,"1,688","18,214",0.00%
GUANGDONG LY INTELLIGENT M-A,BD5LQY4,"17,516","30,829",0.00%
GUANGXI LIUGONG MACHINERY-A,BD5C904,"44,139","117,108",0.01%
GUANGZHOU GUANGRI STOCK CO-A,BYQDMB5,264,846,0.00%
GUARDIAN MEDICAL SOLUTIONS LIMITED,MFSS000000280807,"4,589",129,0.00%
GUOTAI EPOINT SOFTWARE CO -A,CNE100004ZF3 (ISIN),74,473,0.00%
GUOTAI JUNAN SECURITIES CO-A,BYQDMZ9,843,"3,458",0.00%
GUOYUAN SECURITIES CO LTD-A,BD5CNY6,"44,623","82,070",0.01%
GUZMAN Y GOMEZ LTD,BSLTT82,"16,229","658,416",0.06%
GWA GROUP LTD,6392949,"2,317","5,607",0.00%
HAFNIA LTD,SGXZ53070850 (ISIN),"49,086","424,066",0.04%
HAIDLAO INTERNATIONAL HOLDI,BGN9715,"10,730","35,472",0.00%
HAIER SMART HOME CO LTD-A,BP3R3G9,"33,520","209,950",0.02%
HAIER SMART HOME CO LTD-H,BLD4QD0,"57,391","328,151",0.03%
HAITIAN INTERNATIONAL HLDGS,B1L2RC2,"87,739","384,922",0.04%
HAITONG SECURITIES CO LTD-A,BP3R2S4,"1,223","2,991",0.00%
HAL TRUST UNITS NPV,4402839,225,"43,488",0.00%
HALEON PLC,BMX86B7,"1,496","11,422",0.00%
HALLIBURTON CO COM,2405302,200,"8,792",0.00%
HALMA PLC ORD GBP0.10,405207,75,"4,086",0.00%
HANG LUNG PROPERTIES LTD,6030506,"282,419","365,830",0.03%
HANG SENG BANK,6408374,150,"2,975",0.00%
HANGZHOU ELECTRONIC SOUL N-A,CNE100002GB6 (ISIN),294,"1,287",0.00%
HANGZHOU GREATSTAR INDUSTRIA,BD5CG70,"15,956","113,557",0.01%
HANKYU HANSHIN HOLDINGS INC,6408664,48,"2,044",0.00%
HANNOVER RUECK SE,4511809,15,"6,038",0.00%
HANSEN TECHNOLOGIES LTD NPV,6243252,"3,735","19,984",0.00%
HANSOH PHARMACEUTICAL GROUP,BJYKB72,"33,127","119,020",0.01%
HARGREAVES LANSDOWN PLC ORD GBP0.004,B1VZ0M2,67,"1,490",0.00%
HARTFORD FINL SVCS GRO COM,2476193,81,"14,310",0.00%
HARVEY NORMAN HOLDINGS LTD SHS,6173508,-136,-635,0.00%
HCA HEALTHCARE INC,B4MGBG6,"1,572","761,833",0.07%
HCL TECHNOLOGIES LTD,6294896,"12,503","452,244",0.04%
HDFC BANK LIMITED,BK1N461,"13,308","445,080",0.04%
HDFC BANK LTD-ADR ADR REPS 3 SHS,2781648,"27,514","2,837,793",0.27%
HEALIUS LTD,BFZYRL1,"915,283","1,253,938",0.12%
HEALTHPEAK PROPERTIES INC,BJBLRK3,227,"7,431",0.00%
HEIDELBERG MATERIALS AG,5120679,29,"5,836",0.00%
HEILAN HOME CO LTD -A 600398,BS7K3T8,"53,427","88,154",0.01%
HEINEKEN HOLDING NV -A,B0CCH46,27,"2,581",0.00%
HEINEKEN NV,7792559,"4,573","525,375",0.05%
HELIA GROUP LTD,BP5HL07,"1,649","7,371",0.00%
HELIOS TOWERS PLC HTWS,BJVQC70,"52,681","97,505",0.01%
HELVETIA HOLDING AG-REG,BK6QWF0,8,"2,218",0.00%
HENAN PINGGAO ELECTRIC CO-A,BP3R734,"28,308","119,571",0.01%
HENAN SHENHUO COAL & POWER-A,BD6QWQ2,"1,955","7,269",0.00%
HENDERSON LAND DEVELOPMENT,6420538,"2,153","10,566",0.00%
Henkel AG and CO KGAA,5002465,45,"5,554",0.00%
Henkel AG and Co KGAA,5076705,24,"3,339",0.00%
HENNES & MAURITZ AB-B SHS,5687431,195,"4,249",0.00%
HENRY SCHEIN INC COM USD0.01,2416962,25,"2,807",0.00%
HERMES INTERNATIONAL S ACT,5253973,214,"829,876",0.08%
HERSHEY FOODS CORP COM,2422806,31,"8,477",0.00%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,BYVYWS0,279,"9,637",0.00%
HEXAGON AB-B SHS,BNZFHC1,580,"8,950",0.00%
HEXING ELECTRICAL CO LTD-A 603556,BYW5QY6,"5,918","48,161",0.00%
HF SINCLAIR CORP,BMZQ9C1,20,"1,136",0.00%
HIKARI TSUSHIN INC,6416322,"1,376","487,726",0.05%
HIKMA PHARMACEUTICALS PLC,B0LCW08,-4,-162,0.00%
HI-LEX CORP,6643476,"1,291","20,490",0.00%
HILTON WORLDWIDE HLDGS - W/I HLT-W,BYVMW06,57,"22,937",0.00%
HIMALAYA SHIPPING LTD,BMW64P2,"3,014","23,660",0.00%
HIMALAYA SHIPPING LTD,BN957G1,"2,419","18,887",0.00%
HINDUSTAN AERONAUTICS LTD,BR56KD4,"3,564","280,947",0.03%
HISCOX LTD,BVZHXQ9,805,"17,636",0.00%
HISENSE ELECTRIC CO LTD-A,BP3R7F6,"5,229","22,941",0.00%
HISENSE HOME APPLIANCES G-A,BD5M2M7,"14,431","91,752",0.01%
HITACHI CONSTRUCTION MACHINE,6429405,53,"1,914",0.00%
HITACHI LIMITED COM,6429104,"6,353","257,053",0.02%
HIWIN TECHNOLOGIES CORP TWD10,B1YMYT5,"55,865","905,455",0.09%
HKT TRUST AND HKT SHARE STAPLED UNIT,B4TXDZ3,"1,278","2,551",0.00%
HL MANDO CO LTD,BQJZQJ8,"8,851","394,754",0.04%
HMC CAPITAL LTD,BJRBL61,"87,986","867,538",0.08%
HOKUETSU CORP,6433105,"13,126","206,257",0.02%
HOLCIM LTD,7110753,104,"16,184",0.00%
HOLMEN AB-B SHARES,BDQQ1Q5,40,"2,356",0.00%
HOLOGIC INC COM USD0.01,2433530,46,"5,299",0.00%
HOME DEPOT INC COM,2434209,219,"137,436",0.01%
HOMECO DAILY NEEDS REIT,BNC0NF4,"16,755","19,185",0.00%
HON HAI PRECISION INDS ORD,6438564,"56,279","510,145",0.05%
HONDA MOTOR CO LTD,6435145,943,"14,879",0.00%
HONG KONG & CHINA GAS,6436557,"1,961","2,532",0.00%
HONG KONG EXCHANGES & CLEAR,6267359,"10,292","630,827",0.06%
HONG LEONG FINANCIAL GROUP BERHAD,6436450,"2,991","19,987",0.00%
HONGKONG & SHANGHAI HO,6436386,"155,904","201,625",0.02%
HONGKONG LAND HOLDINGS LTD ORD USD0.10(S,6434915,393,"2,822",0.00%
HORIZON ROBOTICS INC,KYG4602S1057 (ISIN),"248,122","185,722",0.02%
HORMEL FOODS CORP COM USD0.0586,2437264,82,"4,130",0.00%
HOSHIZAKI CORPORATION,B3FF8W8,7,441,0.00%
HOSIDEN CORP HOSIDEN CORP,6439813,"2,737","65,022",0.01%
HOSKEN CONS INVESTMENTS LTD ZAR0.25,6439738,"26,424","370,921",0.04%
HOST HOTELS & RESORTS INC COM STK USD0.0,2567503,147,"4,169",0.00%
HOTEL PROPERTY INVESTMENTS HPI,BGSHGN9,"7,128","26,731",0.00%
HOULIHAN LOKEY INC HLI,BYQ3PM7,"1,104","309,760",0.03%
HOWDEN JOINERY GROUP PLC,557681,"8,068","129,490",0.01%
HOWMET AEROSPACE INC,BKLJ8V2,"4,208","743,269",0.07%
HOYA CORP,6441506,"4,526","921,700",0.09%
HOYUAN GREEN ENERGY CO LTD-A,BK94808,"1,886","6,743",0.00%
HP INC,BYX4D52,236,"12,434",0.00%
HSBC HOLDINGS ORD SHS,540528,"4,292","68,174",0.01%
HUA HONG SEMICONDUCTOR LTD,BRB3857,"16,456","74,077",0.01%
HUATAI SECURITIES CO LTD-A,BP3R3B4,"78,355","303,214",0.03%
HUAXIA BANK CO LTD-A,BP3R2T5,"112,536","198,309",0.02%
HUB24 LTD,BD4T5X1,"15,154","1,054,737",0.10%
HUBBELL INC -CL B,BDFG6S3,13,"8,842",0.00%
HUBSPOT INC HUBS,BR4T3B3,340,"383,088",0.04%
HULIC CO LTD,6805317,239,"3,365",0.00%
HUMANA INC,2445063,27,"11,172",0.00%
HUNDSUN ELECTRONIC CO LTD-A,BP3R6B5,"1,885","11,605",0.00%
HUNT J B TRANS COM,2445416,22,"6,055",0.00%
HUNTINGTON BANCSHARES COM,2445966,362,"9,524",0.00%
HYATT HOTELS CORP - CL A COM USD0.01 CLA,B5B82X4,16,"3,942",0.00%
HYDRO ONE LTD H,BYYXJY9,65,"3,217",0.00%
HYGON INFORMATION TECHNOLO-A,BQZDHW6,622,"20,488",0.00%
HYUNDAI GLOVIS CO LTD,B0V3XR5,"1,736","224,978",0.02%
IA FINANCIAL CORP INC,BJ2ZH37,14,"2,076",0.00%
IBERDROLA SA,B288C92,"1,310","29,134",0.00%
ICHIGO INC,6549767,"76,493","295,579",0.03%
ICICI BANK LTD,BSZ2BY7,"66,651","1,611,467",0.15%
ICON PLC,B94G471,"5,024","1,701,541",0.16%
IDEMITSU KOSAN CO LTD NPV,B1FF8P7,114,"1,209",0.00%
IDEX CORP USD0.01,2456612,14,"4,739",0.00%
IDEXX LABORATORIES INC COM USD0.10,2459202,395,"263,774",0.03%
IDP EDUCATION LTD IEL,BDB6DD1,"149,567","1,889,035",0.18%
IGM FINANCIAL INC,2469375,2,123,0.00%
IGO LTD,6439567,"306,585","1,462,412",0.14%
IHEARTMEDIA INC - CLASS A IHTM,BJVR9Y9,9,29,0.00%
ILLINOIS TOOL WKS INC COM,2457552,65,"26,784",0.00%
ILLUMINA INC COM USD0.01,2613990,30,"6,578",0.00%
ILUKA RESOURCES LIMITED NPV,6957575,"92,318","466,207",0.04%
IMCD GROUP NV IMCD,BNCBD46,10,"2,405",0.00%
IMDEX LIMITED NPV,6462154,"24,120","55,959",0.01%
IMPALA PLATINUM HOLDINGS LTD ZAR0.025,B1FFT76,"31,962","240,055",0.02%
IMPEDIMED LTD NPV,B282M83,"1,254,105","65,213",0.01%
IMPERIAL BRANDS PLC,454492,"3,212","165,850",0.02%
IMPERIAL OIL LTD COM NEW,2454241,546,"54,292",0.01%
INCITEC PIVOT LTD NPV,6673042,"932,673","2,732,733",0.26%
INCYTE GENOMICS INC COM,2471950,52,"5,847",0.00%
INDITEX,BP9DL90,"2,187","181,528",0.02%
INDOCEMENT TUNGGAL PRAKARSA TBK,6454861,"468,971","348,244",0.03%
INDOSAT TBK,B00FYK2,"178,003","44,298",0.00%
INDRAPRASTHA GAS LTD,BD9PXD0,"56,422","442,407",0.04%
INDUSTRIAL BANK CO LTD -A,BP3R295,"14,743","62,144",0.01%
INDUSTRIVARDEN AB-A SHS INDUA,B1VSK10,3,167,0.00%
INDUSTRIVARDEN AB-C SHS SER'C'NPV,B1VSK54,95,"4,826",0.00%
INDUTRADE AB NPV,B0LDBX7,46,"1,846",0.00%
INFINEON TECHNOLOGIES AG,5889505,"9,937","521,836",0.05%
INFOMEDIA LIMITED INFOMEDIA LIMITED,6268095,"10,777","16,596",0.00%
INFORMA GROUP PLC INFORMA GROUP PLC,BMJ6DW5,481,"7,775",0.00%
INFOSYS LTD,2398822,"10,739","380,195",0.04%
INFRASTRUTTURE WIRELESS ITAL INW,BZ0P4R4,76,"1,252",0.00%
INFRATIL LTD,6459286,170,"1,941",0.00%
INFRATIL LTD IFT,B6923R6,"28,769","332,855",0.03%
ING GROEP NV-CVA,BZ57390,725,"18,351",0.00%
INGENIA COMMUNITIES GROUP,B84GSC7,"2,252","10,314",0.00%
INGERSOLL-RAND INC,BL5GZ82,88,"12,856",0.00%
INGHAMS GROUP LTD ING,BZCNHW2,"18,162","57,756",0.01%
INNER MONGOLIA MENGDIAN HU-A,BP3R723,"36,922","35,172",0.00%
INNER MONGOLIA YILI INDUS-A,BP3R2V7,"10,093","67,011",0.01%
INPEX CORP,B10RB15,230,"4,657",0.00%
INSIGNIA FINANCIAL LTD,6714394,"953,937","3,386,478",0.32%
INSPUR ELECTRONIC INFORMAT-A,BD5CLB9,"1,517","17,313",0.00%
INSULET CORP COM STK USD0.001,B1XGNW4,16,"6,795",0.00%
INSURANCE AUSTRALIA GROUP SHS,6271026,"321,587","2,720,629",0.26%
INTACT FINANCIAL CORP,B04YJV1,40,"11,628",0.00%
INTEL CORP,2463247,973,"31,525",0.00%
INTELLIGENT MONITORING GROUP,BMF19D7,"124,619","69,787",0.01%
INTERACTIVE BROKERS GRO-CL A COM STK CLA,B1WT4X2,"1,666","475,374",0.05%
INTERCONTINENTAL EXCHANGE INC,BFSSDS9,130,"31,357",0.00%
INTERCONTINENTAL HOTELS GROU,BHJYC05,59,"11,873",0.00%
INTERFOR CORPORATION,BMJ71W4,377,"7,100",0.00%
INTERGAL DIAGNOSTICS LTD,BYV2ZK7,"116,523","339,082",0.03%
INTERNATIONAL BUSINESS COM,2005973,208,"73,756",0.01%
INTERNATIONAL FLAVORS& COM,2464165,48,"6,514",0.00%
INTERNATIONAL SEAWAYS INC-WI,BYX60M4,"4,748","275,593",0.03%
INTERPUBLIC GROUP COS COM,2466321,121,"5,464",0.00%
INTERTEK GROUP PLC ORD GBP0.01,3163836,41,"3,914",0.00%
INTESA SANPAOLO,4076836,"3,225","20,833",0.00%
INTL CONSOLIDATED AIRLINE-DI,B5M6XQ7,"14,808","90,431",0.01%
INTL PAPER CO COM,2465254,106,"9,231",0.00%
INTUIT INC,2459020,"1,694","1,719,300",0.16%
INTUITIVE SURGICAL INC COM USD0.001,2871301,"2,320","1,955,843",0.19%
INVESTMENT AB LATOUR-B SHS,BZ404X1,-52,"-2,104",0.00%
INVESTOR AB-B SHS,BMV7PQ4,"3,557","152,199",0.01%
INVITATION HOMES INC,BD81GW9,124,"6,395",0.00%
IPD GROUP LTD,BP9SCC5,"23,406","90,583",0.01%
IPERIONX LTD,BMCB2H5,"38,917","214,046",0.02%
IPH LTD IPH,BS7K5S1,"18,726","94,190",0.01%
IPSEN EUR1,B0R7JF1,4,671,0.00%
IQVIA HOLDINGS INC,BDR73G1,"2,076","658,800",0.06%
IRESS MARKET TECHNOLOGY LTD NPV,6297497,"87,781","817,241",0.08%
IRON MTN INC PA COM,BVFTF03,71,"12,099",0.00%
ISRAEL DISCOUNT BANK-A ILS0.10 SER'A',6451271,-11,-121,0.00%
ISUZU MOTORS LTD COM,6467104,112,"2,492",0.00%
ITAU UNIBANCO HLDNG-PREF ADR,2849739,"72,064","577,307",0.05%
ITC LTD,B0JGGP5,"28,863","263,344",0.02%
ITOCHU CORP ORD,6467803,"1,516","122,012",0.01%
ITT INC,BZBY209,"1,958","451,765",0.04%
IVANHOE MINES LTD-CL A IVN,BD73C40,"2,029","38,878",0.00%
J P MORGAN CHASE & CO COM,2190385,"1,673","647,712",0.06%
JABIL INC,2471789,29,"6,779",0.00%
JACK HENRY & ASSOCIATES INC COM USD0.01,2469193,"1,419","401,705",0.04%
JAFRON BIOMEDICAL CO LTD-A,BFY8H03,348,"2,245",0.00%
JAMES HARDIE INDUSTRIES PLC,B60QWJ2,"82,906","4,151,113",0.39%
JAPAN AIRLINES COMPANY LTD NPV,B8BRV46,96,"2,459",0.00%
JAPAN ELEVATOR SERVICE HOLDI 6544,BF0QWT5,633,"18,968",0.00%
JAPAN EXCHANGE GROUP INC,6743882,163,"2,972",0.00%
JAPAN PETROLEUM EXPLORATION SHS,6711696,"16,777","195,688",0.02%
JAPAN POST BANK CO LTD 7182,BYT8165,268,"4,120",0.00%
JAPAN POST HOLDINGS CO LTD 6178,BYT8143,540,"8,265",0.00%
JAPAN POST INSURANCE CO LTD 7181,BYT8154,16,465,0.00%
JAPAN REAL ESTATE INVESTMENT,6397580,3,"3,076",0.00%
JAPAN TOBACCO INC,6474535,233,"9,788",0.00%
JARDINE MATHESON HLDGS ORD,6472119,"3,193","211,305",0.02%
JB HI-FI LTD NPV,6702623,"8,773","813,038",0.08%
JD SPORTS FASHION,BM8Q5M0,279,541,0.00%
JD.COM INC - CL A,BKPQZT6,"27,463","776,565",0.07%
JD.COM INC-ADR,BMM27D9,"3,657","204,795",0.02%
JDE PEET'S BV JDEP,BMC4ZZ3,83,"2,307",0.00%
JEFFERIES FINANCIAL GROUP IN,BG0Q4Z2,"4,398","556,857",0.05%
JERONIMO MARTINS,B1Y1SQ7,134,"4,141",0.00%
JFE HOLDINGS INC NPV,6543792,146,"2,665",0.00%
JIANGSU CHANGJIANG ELECTRONI,BP3RCQ2,"9,909","89,072",0.01%
JIANGSU HENGRUI MEDICINE C-A,BP3R369,"3,121","31,520",0.00%
JIANGSU PHOENIX PUBLISH-A,BP3R5F2,"14,452","36,690",0.00%
JOBY AVIATION INC,BMCRLL0,"22,271","292,442",0.03%
