Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
AMPLITUDE ENERGY LTD,AU0000361909 (ISIN),"799,233","163,843",0.02%
AMPOL LTD,BM91201,"36,029","1,015,664",0.10%
AMS-OSRAM AG,BQPGGN9,"19,513","206,434",0.02%
AMUNDI SA AMUN,BYZR014,3,349,0.00%
ANA HOLDINGS INC,6014908,11,338,0.00%
ANALOG DEVICES INC COM,2032067,110,"37,826",0.00%
ANGLO AMERICAN PLATINUM LTD,6761000,"2,527","123,038",0.01%
ANGLO AMERICAN PLC,B1XZS82,"13,609","650,765",0.06%
ANHEUSER-BUSCH INBEV SA/NV,BYYHL23,162,"13,062",0.00%
ANHUI CONCH CEMENT CO LTD-A,BP3R2Z1,"9,011","47,142",0.00%
ANHUI KOUZI DISTILLERY CO -A,BYQDNL2,"3,778","32,617",0.00%
ANHUI YINGJIA DISTILLERY C-A,BYV1VH3,"2,632","31,237",0.00%
ANHUI ZHONGDING SEALING PA-A,BD5CL31,"16,082","46,419",0.00%
ANKER INNOVATIONS TECHNOLO-A,BNR4MR6,"4,826","103,667",0.01%
ANNALY CAPITAL MANAGEMENT IN,BPMQ7X2,83,"2,440",0.00%
ANSELL LTD ORD,6286611,"124,497","4,210,494",0.40%
ANSYS INC COM USD0.01,2045623,21,"11,365",0.00%
ANTA SPORTS PRODUCTS LTD,B1YVKN8,"3,811","61,692",0.01%
ANTOFAGASTA PLC,45614,"14,931","480,199",0.05%
ANZ Bank,AU000000ANZ3,"290,356","8,286,757",0.79%
AON PLC,BLP1HW5,"1,423","825,228",0.08%
AP MOELLER-MAERSK A/S-B,4253048,24,"65,368",0.01%
APA CORP,BNNF1C1,48,"1,779",0.00%
APA GROUP NPV,B931078,"15,929","111,023",0.01%
APOLLO GLOBAL MANAGEMENT INC,BN44JF6,"1,436","383,062",0.04%
APOLLO HOSPITALS ENTERPRISE LTD,6273583,"1,964","270,314",0.03%
APPLE INC,2046251,"7,169","2,899,532",0.27%
APPLIED MATLS INC COM,2046552,672,"176,627",0.02%
APPLOVIN CORP-CLASS A,BMV3LG4,"2,373","1,241,150",0.12%
APTIV HOLDINGS LTD,JE00BTDN8H13 (ISIN),70,"6,828",0.00%
ARB CORPORATION LIMITED NPV,BWV03W5,"6,380","259,102",0.02%
ARC RESOURCES LTD COM NPV,B6463M8,163,"4,772",0.00%
ARCA CONTINENTAL SAB DE CV,2823885,"13,359","179,245",0.02%
ARCADIS NV EUR0.05,5769209,"3,423","336,585",0.03%
ARCADIUM LITHIUM PLC-CDI,BS715X9,-8,-66,0.00%
ARCH CAPITAL GROUP LTD COM USD0.01,2740542,106,"15,850",0.00%
ARCH RESOURCES INC,BLB8B95,753,"171,837",0.02%
ARCHER DANIELS MIDLAND COM,2047317,121,"9,878",0.00%
ARENA REIT,B99K263,"79,230","308,205",0.03%
ARES MANAGEMENT CORP,BF14BT1,33,"9,379",0.00%
ARGENX SE ARGX,BNHKYX4,13,"13,499",0.00%
ARISTA NETWORKS INC,US0404132054 (ISIN),232,"41,501",0.00%
ARISTOCRAT LEISURE LTD,6253983,"85,009","5,811,199",0.55%
ARKEMA EUR10,B0Z5YZ2,11,"1,332",0.00%
ARTHUR J GALLAGHER & CO COM,2359506,60,"27,331",0.00%
ASAHI GROUP HOLDINGS LTD,6054409,319,"5,429",0.00%
ASAHI KASEI CORP ORD,6054603,182,"2,039",0.00%
ASANA INC - CL A,BLFDQC4,"12,387","405,525",0.04%
ASE TECHNOLOGY HOLDINGS CO LTD,BFXZDY1,"38,765","309,378",0.03%
ASHTEAD GROUP PLC ORD GBP0.10,53673,108,"10,872",0.00%
ASICS CORP,6057378,"21,278","680,073",0.06%
ASM INTERNATIONAL NV COM,5165294,421,"393,212",0.04%
ASML HOLDING NV,B929F46,"3,216","3,650,806",0.35%
ASMPT LTD,6002453,"29,581","460,674",0.04%
ASOS PLC ORD GBP0.035,3092725,"24,240","218,291",0.02%
ASPEN TECHNOLOGY INC,BP2V812,8,"3,237",0.00%
ASR NEDERLAND NV-W/I,BD9PNF2,-28,"-2,168",0.00%
ASSA ABLOY AB-B,BYPC1T4,"6,232","297,715",0.03%
ASSICURAZIONI GENERALI,4056719,183,"8,369",0.00%
ASSOCIATED BRITISH FOODS PLC,673123,"2,456","101,500",0.01%
ASSURANT INC COM USD0.01,2331430,15,"5,121",0.00%
ASTELLAS PHARMA INC SHS,6985383,324,"5,115",0.00%
ASTRAZENECA PLC,989529,353,"74,844",0.01%
ASUSTEK COMPUTER INC ORD,6051046,"11,139","338,041",0.03%
ASYMCHEM LABORATORIES TIAN-A,BD6V5C4,535,"8,951",0.00%
AT&T INC,2831811,"1,613","59,330",0.01%
ATLANTA BRAVES HOLDINGS IN-C,BRF2GD4,3,210,0.00%
Atlas Arteria,BZ03TZ1,"98,544","468,083",0.04%
ATLAS COPCO AB-A SHS,BLDBN41,417,"10,302",0.00%
ATLAS COPCO AB-B SHS,BLDBN52,670,"14,646",0.00%
ATLASSIAN CORP PLC-CLASS A,BQ1PC76,"3,659","1,438,311",0.14%
ATMOS ENERGY CORP,2315359,26,"5,739",0.00%
AUB GROUP LTD,B0MBNC3,"50,948","1,589,566",0.15%
AUCKLAND INTL AIRPORT LTD,BKX3XG2,541,"4,258",0.00%
AUCKLAND INTL AIRPORT LTD NPV,BLRZSS8,"48,354","375,227",0.04%
AUCTION TECHNOLOGY GROUP-WI,BMVQDZ6,"37,173","413,555",0.04%
AUDINATE GROUP LTD AD8,BZ9N3B6,-16,-120,0.00%
AURIZON HOLDINGS LTD,B87CVM3,"466,452","1,515,968",0.14%
AUSTIN ENGINEERING LTD NPV,6710615,"232,449","118,549",0.01%
AUSTRALIAN CLINICAL LABS LTD,BMWLLJ0,"39,231","134,954",0.01%
AUSTRALIAN STOCK EXCHANGE NPV,6129222,"11,010","716,550",0.07%
AUSTRALIAN VINTAGE LIMITED,6130677,"36,928","5,170",0.00%
AUTEL INTELLIGENT TECHNOLO-A,BNR4NW8,"5,571","47,996",0.00%
AUTO TRADER GROUP PLC AUTO,BVYVFW2,"25,257","405,135",0.04%
AUTODESK INC COM,2065159,"3,581","1,709,460",0.16%
AUTOHELLAS SA OTOEL,BDZTGG0,"1,719","29,263",0.00%
AUTOMATIC DATA PROCESS COM,2065308,"2,724","1,287,971",0.12%
AUTOZONE INC COM,2065955,4,"22,515",0.00%
AVALONBAY COMMUNITIES INC COM USD0.01,2131179,30,"10,506",0.00%
AVANOS MEDICAL INC,BFFVV54,"14,378","369,701",0.04%
AVANTOR INC AVTR,BJLT387,136,"4,638",0.00%
AVARY HOLDING SHENZHEN CO -A,BKDQ800,"1,247","10,010",0.00%
AVERY DENNISON CORP COM,2066408,22,"6,754",0.00%
AVIVA PLC,BPQY8M8,623,"5,909",0.00%
Avolta,B0R80X9,24,"1,570",0.00%
AVZ MINERALS LTD AVZ,B23G0B9,-225,-176,0.00%
AXA PARIS ACT ORD,7088429,407,"23,347",0.00%
AXIS CAPITAL HOLDINGS LTD COM USD0.0125,2677606,"2,159","309,007",0.03%
AXON ENTERPRISE INC,BDT5S35,16,"15,460",0.00%
AZELIS GROUP NV,BMHT025,"4,326","137,480",0.01%
AZRIELI GROUP ILS0.01,B5MN1W0,-6,-734,0.00%
B3 SA-BRASIL BOLSA BALCAO,BG36ZK1,"286,217","772,225",0.07%
BACHEM HOLDING AG-REG B,BMXVKB4,24,"2,482",0.00%
BAKER HUGHES A GE CO,BDHLTQ5,224,"14,840",0.00%
BALL CORP COM,2073022,69,"6,188",0.00%
BALOISE HOLDING AG - REG,7124594,4,"1,240",0.00%
BANCO BILBAO VIZCAYA ARGENTA,5501906,"1,262","19,952",0.00%
BANCO BPM SPA,BYMD5K9,139,"1,819",0.00%
BANCO BRADESCO SA-PREF PRF NPV,B00FM53,"108,940","329,239",0.03%
BANCO DE SABADELL SA EUR0.5,B1X8QN2,"1,278","4,012",0.00%
BANCO DO BRASIL SA COM NPV,2328595,"34,381","217,249",0.02%
BANCO SANTANDER CENTRA,5705946,"7,349","54,869",0.01%
BANCOLOMBIA S.A.-SPONS ADR SPON ADR REPR,2082567,"7,543","383,878",0.04%
BANDAI NAMCO HOLDINGS INC,B0JDQD4,148,"5,756",0.00%
BANGKOK BANK-FOR REG,6077019,"7,927","56,699",0.01%
BANGKOK DUSIT MED SERVICE-F THB1(ALIEN),BLZGSM7,"144,384","167,573",0.02%
BANK CENTRAL ASIA TBK,B01C1P6,"2,351,413","2,282,892",0.22%
BANK HAPOALIM BM ILS1,6075808,329,"6,411",0.00%
BANK LEUMI LE-ISRAEL ILS1,6076425,202,"3,880",0.00%
BANK MANDIRI TBK PT,6651048,"430,871","246,449",0.02%
BANK MONTREAL QUE COM,2076009,147,"23,056",0.00%
BANK NEGARA INDONESIA (PERSERO) TBK,6727121,"321,808","140,473",0.01%
BANK NOVA SCOTIA HALIF COM,2076281,246,"21,299",0.00%
BANK OF AMERICA CORP,2295677,"25,249","1,792,252",0.17%
BANK OF BEIJING CO LTD -A,BP3R2W8,"14,768","19,980",0.00%
BANK OF CHONGQING CO LTD-A,CNE100004C60 (ISIN),"17,492","35,711",0.00%
BANK OF GEORGIA GROUP PLC,BF4HYT8,"1,270","121,042",0.01%
BANK OF IRELAND GROUP PLC BIRG,BD1RP61,"2,206","32,492",0.00%
BANK OF JIANGSU CO LTD-A,BYW5MY8,"56,796","122,702",0.01%
BANK OF NEW YORK MELLON CORP,B1Z77F6,185,"23,011",0.00%
BANK OF NINGBO CO LTD -A,BD5CP06,"5,894","31,525",0.00%
BANK OF QUEENSLAND LTD,6076243,"70,531","472,557",0.04%
BANK RAKYAT INDONESIA PERSER,6709099,"1,286,297","526,631",0.05%
BANK ST PETERSBURG PJSC BSPB,B596R68,"24,500",0,0.00%
BANK SYARIAH INDONESIA TBK P,BFY6H41,"157,120","43,043",0.00%
BANNERMAN ENERGY LTD,B07DXJ1,"51,024","147,968",0.01%
BANQUE CANTONALE VAUDOIS-REG,BMFY8R3,0,37,0.00%
BAOSHAN IRON & STEEL CO-A,BP3R2Y0,"95,428","146,959",0.01%
BAPCOR LTD,BLD2CY7,"348,043","1,642,765",0.16%
BARCLAYS,3134865,"47,785","259,189",0.02%
BARRATT REDROW PLC,81180,"4,143","36,883",0.00%
BARRICK GOLD CORP COM,2024644,366,"9,168",0.00%
BARRY CALLEBAUT AG CHF100(REGD),5476929,0,600,0.00%
BASF SE,5086577,619,"43,932",0.00%
BAXTER INTL INC COM,2085102,118,"5,563",0.00%
BAYERISCHE MOTOREN WERKE-PFD NON VTG PRF,5756030,4,497,0.00%
BCE INC COM,B188TH2,11,401,0.00%
BE SEMICONDUCTOR INDUSTRIES,BG0SCK9,"4,920","1,088,602",0.10%
BEACH ENERGY LTD,6088204,"729,206","1,017,243",0.10%
BEACON LIGHTING GROUP LTD,BKXF175,"70,351","214,570",0.02%
BECHTLE AG NPV,5932409,7,372,0.00%
BECTON DICKINSON AND CO,2087807,"1,918","702,721",0.07%
BEGA CHEESE LTD NPV,B56CQJ5,"34,933","201,565",0.02%
BEIERSDORF AG BEIERSDORF AG,5107401,"6,434","1,334,266",0.13%
BEIGENE LTD-A,BNHPM91,"10,919","386,785",0.04%
BEIGENE LTD-ADR,BYYWPW6,"1,987","592,901",0.06%
BEIJER REF AB,BP2NJ48,61,"1,466",0.00%
BEIJING CAPITAL CO LTD-A,BP3R7K1,"141,314","101,971",0.01%
BEIJING KINGSOFT OFFICE SO-A,BNR4NQ2,349,"21,959",0.00%
BEIJING NEW BUILDING MATER-A,BD5CJ26,"12,927","86,199",0.01%
BEIJING ORIENTAL YUHONG-A,BD5CFP1,"6,202","17,712",0.00%
BEIJING SEEYON INTERNET SO-A,BNHPN43,"1,817","8,024",0.00%
BEIJING ULTRAPOWER SOFTWARE-A,BD5CLJ7,"45,357","115,650",0.01%
BELLEVUE GOLD LTD BGL,BFZ31P0,"250,857","282,214",0.03%
Beluga Group PJSC,B57QZY4,"7,860",0,0.00%
BENDIGO AND ADELAIDE BANK,6091280,"40,692","533,063",0.05%
BENTLEY SYSTEMS INC-CLASS B BSY,BMC1PR6,57,"4,326",0.00%
BERKELEY GROUP HOLDINGS/THE,BP0RGD0,103,"8,086",0.00%
BERKLEY W R CORP COM,2093644,62,"5,847",0.00%
BERKSHIRE HATHAWAY INC-CL B CLASS'B'COM,2073390,"1,158","848,073",0.08%
BEST BUY INC COM,2094670,38,"5,297",0.00%
BESTECHNIC SHANGHAI CO LTD-A,BNHPNS7,158,"11,336",0.00%
BETMAKERS TECHNOLOGY GROUP L BET,BJDXBQ1,"237,811","24,970",0.00%
BHARTI AIRTEL LIMITED,6442327,"46,657","1,397,488",0.13%
BHP GROUP LTD,6144690,"520,899","20,601,547",1.95%
BID CORP LTD BID,BZBFKT7,"4,789","176,501",0.02%
BIOGEN INC,2455965,31,"7,653",0.00%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,2437071,47,"4,977",0.00%
BIOMERIEUX,BF0LBX7,16,"2,797",0.00%
BIONTECH SE-ADR,BK6H543,"3,849","708,347",0.07%
BIO-RAD LABORATORIES-A,2098508,352,"186,588",0.02%
BIO-TECHNE CORP,BSHZ3Q0,70,"8,130",0.00%
BIO-THERA SOLUTIONS LTD-A,CN1000001000 (ISIN),"1,044","4,452",0.00%
BIZLINK HOLDING INC 3665,B5SG8Y4,"14,235","429,180",0.04%
BJ'S WHOLESALE CLUB HOLDINGS BJ,BFZNZF8,"2,835","409,176",0.04%
BKW AG CHF2.50,B76D410,7,"1,991",0.00%
BLACKROCK FUNDING INC/DE,US09290D1019 (ISIN),33,"54,102",0.01%
BLACKSTONE GROUP INC/THE,BKF2SL7,154,"42,987",0.00%
BLOCK INC,BYNZGK1,"3,161","433,967",0.04%
BLOCK INC - CDI,BMHJ8W1,"38,738","5,461,343",0.52%
BLUESCOPE STEEL LTD,6533232,"105,851","1,978,349",0.19%
BMW,5756029,81,"10,759",0.00%
BNP PARIBAS S.A.,7309681,232,"22,953",0.00%
BOC HONG KONG HOLDINGS LTD,6536112,"1,046","5,425",0.00%
BOE TECHNOLOGY GROUP CO LT-A,BD5CPL7,"143,238","138,339",0.01%
BOLIDEN AB,BPYTZ57,70,"3,194",0.00%
BOLLORE SE,4572709,60,599,0.00%
BOMBARDIER INC-B,BN33PL2,"1,431","157,077",0.01%
BOOHOO.COM PLC BOO,BG6L729,"93,702","63,799",0.01%
BOOKING HOLDINGS INC,BDRXDB4,496,"3,977,940",0.38%
BOSS RESOURCES LTD BOE,B1XLCQ6,"67,721","164,562",0.02%
BOSTON SCIENTIFIC CORP COM,2113434,362,"52,291",0.00%
BOUYGUES SA,4002121,54,"2,567",0.00%
BP PLC SHS,798059,"9,467","75,259",0.01%
BRAMBLES LTD NPV,B1FJ0C0,"227,373","4,374,653",0.41%
BRENNTAG SE,B4YVF56,141,"13,660",0.00%
BREVILLE GROUP LTD,6158709,"48,852","1,728,371",0.16%
BRICKWORKS LIMITED,6315593,-19,-488,0.00%
BRIDGESTONE CORP COM,6132101,98,"5,401",0.00%
BRISTOL MYERS SQUIBB C COM,2126335,463,"42,277",0.00%
BRITISH AMERICAN TOBAC ORD,287580,"5,463","318,263",0.03%
BROADCOM INC,BDZ78H9,"4,366","1,635,009",0.16%
BROADRIDGE FINANCIAL SOL-W/I COM STK USD,B1VP7R6,"1,381","504,461",0.05%
BROTHER INDUSTRIES LTD,6146500,10,276,0.00%
BROWN & BROWN INC COM,2692687,57,"9,385",0.00%
BROWN-FORMAN CORP -CL B CL B,2146838,77,"4,746",0.00%
BT GROUP PLC,3091357,"1,882","5,482",0.00%
BUILDERS FIRSTSOURCE INC COM USD0.01,B0BV2M7,26,"6,082",0.00%
BUKIT DARAH PLC,6151667,"4,131","13,521",0.00%
BUNGE GLOBAL SA,BQ6BPG9,28,"3,514",0.00%
BUNZL PLC BUNZL PLC,B0744B3,"6,370","424,659",0.04%
BUREAU VERITAS SA EUR0.12,B28DTJ6,33,"1,637",0.00%
BURLINGTON STORES INC BURL,BF311Y5,16,"7,570",0.00%
BWP TRUST,6127453,"17,988","59,001",0.01%
BXP INC,2019479,23,"2,777",0.00%
BYD CO LTD -A,BD5CQ69,"3,626","225,498",0.02%
BYD CO LTD-H,6536651,"3,233","179,210",0.02%
C.H. ROBINSON WORLDWIDE INC COM USD0.1,2116228,23,"3,886",0.00%
CADENCE DESIGN SYSTEM COM,2302232,747,"362,503",0.03%
CAESARS ENTERTAINMENT INC,BMWWGB0,898,"48,453",0.00%
CAITONG SECURITIES CO LTD-A,BFY9KS5,"6,527","11,732",0.00%
CAIXIABANK,B283W97,"6,503","56,949",0.01%
