Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ENDAVA PLC- SPON ADR DAVA,BZ0WK66,"9,320","465,134",0.02%
ENDEAVOUR GROUP LTD/AUSTRALI,BNVS144,"165,089","693,375",0.03%
ENDEAVOUR MINING PLC,BL6K5J4,49,"1,426",0.00%
ENDESA SA,5271782,85,"2,968",0.00%
ENEL,7144569,"1,495","17,216",0.00%
ENEOS HOLDINGS INC,B627LW9,388,"3,297",0.00%
ENGIE,B0C2CQ3,414,"10,603",0.00%
ENHABIT INC-W/I,BQFMQ93,"17,927","226,138",0.01%
ENI SPA,7145056,546,"11,950",0.00%
ENPHASE ENERGY INC ENPH,B65SQW4,"3,998","443,460",0.02%
ENPRO INC,2951292,298,"82,972",0.00%
ENTAIN PLC,B5VQMV6,126,"1,755",0.00%
ENTEGRIS INC COM,2599700,33,"5,237",0.00%
ENTERGY CORP NEW COM,2317087,65,"8,003",0.00%
ENVIRONMENTAL GROUP LTD/THE,6206653,"103,332","32,549",0.00%
ENVISTA HOLDINGS CORP,BK63SF3,"16,705","520,444",0.03%
EOG RES INC COM,2318024,114,"22,633",0.00%
EOPTOLINK TECHNOLOGY INC L-A,BD761B9,479,"12,184",0.00%
EPAM SYSTEMS INC EPAM SYSTEMS INC,B44Z3T8,395,"149,201",0.01%
EPIROC AB-A,BMD58R8,59,"1,662",0.00%
EPIROC AB-B,BMD58W3,142,"3,566",0.00%
EQT AB,BJ7W9K4,43,"1,936",0.00%
EQT CORP,2319414,120,"8,968",0.00%
EQT HOLDINGS LTD,BD5WNY6,"6,359","203,495",0.01%
EQUIFAX INC COM,2319146,22,"9,162",0.00%
EQUINIX INC COM NPV,BVLZX12,20,"30,659",0.00%
EQUINOR ASA,7133608,194,"7,313",0.00%
EQUITABLE HOLDINGS INC,BKRMR96,64,"4,865",0.00%
EQUITY LIFESTYLE PROPERTIES COM USD0.01,2563125,42,"4,537",0.00%
EQUITY RESIDENTIAL SBI USD0.01,2319157,69,"7,941",0.00%
ERICSSON LM-B SHS,5959378,676,"8,881",0.00%
ERIE INDEMNITY COMPANY-CL A CLASS'A' COM,2311711,7,"4,738",0.00%
ERSTE GROUP BANK AG,5289837,"5,371","535,912",0.03%
ESSENTIAL UTILITIES INC,BLCF3J9,93,"5,467",0.00%
ESSENTRA PLC,B074435,"69,475","186,907",0.01%
ESSEX PROPERTY TRUST INC COM USD0.0001,2316619,15,"7,121",0.00%
ESSILORLUXOTTICA,7212477,53,"20,993",0.00%
ESSITY AKTIEBOLAG-B,BF1K7P7,108,"4,674",0.00%
EURAZEO SE,7042395,2,259,0.00%
EUROFINS SCIENTIFIC,BNDPYV1,26,"2,156",0.00%
EURONEXT NV ENX,BNBNSG0,"6,084","1,101,976",0.05%
EVEREST GROUP LTD,2556868,6,"3,680",0.00%
EVERGY INC,BFMXGR0,41,"4,106",0.00%
EVERSOURCE ENERGY,BVVN4Q8,72,"6,661",0.00%
EVOLUTION AB,BJXSCH4,31,"3,814",0.00%
EVOLUTION MINING LTD,B3X0F91,"417,319","2,007,305",0.10%
EVONIK INDUSTRIES AG EVONIK INDUSTRIES A,B5ZQ9D3,76,"2,124",0.00%
EVT LTD,BDG0N49,"15,876","180,663",0.01%
EXACT SCIENCES CORP COM USD0.01,2719951,"3,147","285,595",0.01%
EXELON CORP COM,2670519,188,"11,412",0.00%
EXOR NV,BMJ1825,11,"1,622",0.00%
EXPAND ENERGY CORP,BMZ5LZ5,41,"6,618",0.00%
EXPEDIA INC-W/I COM,B748CK2,41,"12,252",0.00%
EXPEDITORS INTL WASH INC COM,2325507,37,"6,617",0.00%
EXPERIAN PLC,B19NLV4,174,"12,113",0.00%
EXTRA SPACE STORAGE INC COM USD0.01,B02HWR9,40,"9,586",0.00%
EXXON MOBIL CORP COM,2326618,"3,528","612,913",0.03%
EZAKI GLICO CO LTD NPV,6327703,"1,554","74,948",0.00%
F5 INC,2427599,10,"3,994",0.00%
FACTSET RESEARCH SYSTEMS INC COM USD0.01,2329770,"1,214","941,963",0.05%
FAIR ISAAC & CO INC COM,2330299,5,"15,549",0.00%
FAIRFAX FINANCIAL HLDGS LTD,2566351,126,"283,920",0.01%
FALCON METALS LTD/AUSTRALIA,BMDVXZ9,"6,535",752,0.00%
FANUC CORP,6356934,179,"7,685",0.00%
FARASIS ENERGY GAN ZHOU CO-A,BNHPNL0,"2,377","6,067",0.00%
FAST RETAILING CO LTD NPV,6332439,35,"19,299",0.00%
FASTENAL CO,2332262,102,"11,797",0.00%
FASTIGHETS AB BALDER-B SHRS,BPMRNZ9,102,"1,140",0.00%
FAURECIA EUR7,4400446,65,944,0.00%
FEDEX CORP COM,2142784,50,"22,774",0.00%
FERGUSON ENTERPRISES INC,BS6VHW3,963,"269,940",0.01%
FERRARI NV RACE,BD6G507,27,"18,640",0.00%
FERROGLOBE PLC,BYW6GV6,"50,112","307,560",0.01%
FERROGLOBE REPRESENTSTION &,BBG00F9W7QW6 (Bloomberg),132,0,0.00%
FERROVIAL SE,BRS7CF0,84,"5,713",0.00%
FICONT INDUSTRY BEIJING IN-A,BMF7P04,92,571,0.00%
FIDELITY NATIONAL INFO SERV,2769796,"6,520","850,582",0.04%
FIFTH THIRD BANCORP COM,2336747,114,"7,805",0.00%
FINECOBANK SPA,BNGN9Z1,260,"7,310",0.00%
FIREFINCH LTD,BKPJ9T3,"198,158","39,632",0.00%
FIREFLY METALS LTD,BPDXXB2,"143,836","133,049",0.01%
FIRST ABU DHABI BANK PJSC,6624471,"56,128","339,113",0.02%
FIRST CITIZENS BCSHS  -CL A,2355582,2,"8,309",0.00%
FIRST QUANTUM MINERALS LTD COM,2347608,"9,326","194,075",0.01%
FIRST SOLAR INC COM STK USD0.001,B1HMF22,22,"6,254",0.00%
FIRSTCASH HOLDINGS INC,BMF5Q83,348,"58,240",0.00%
FIRSTENERGY CORP COM,2100920,92,"5,914",0.00%
FIRSTSERVICE CORP,BJMKSJ5,-2,-447,0.00%
FISERV INC,2342034,"3,189","1,057,944",0.05%
FISHER & PAYKEL HEALTHCARE C,6340250,127,"4,426",0.00%
FISHER & PAYKEL HEALTHCARE C NPV,6423968,"97,413","3,404,568",0.17%
FLEETPARTNERS GROUP LTD,BN7HDZ0,"46,899","126,159",0.01%
FLETCHER BUILDING LTD NPV,6341617,"477,712","1,218,166",0.06%
FLIGHT CENTRE TRAVEL GROUP LTD,6352147,"32,488","541,900",0.03%
FLUTTER ENTERTAINMENT PLC,BWXC0Z1,"2,830","1,185,992",0.06%
FLUTTER ENTERTAINMENT PLC,BWZMZF4,36,"14,995",0.00%
FNF GROUP,BNBRDD4,92,"8,326",0.00%
FOMENTO ECONOMICO MEXICANO SAB,2246039,"1,381","190,720",0.01%
FORAN MINING CORPORATION,2355731,"4,709","20,785",0.00%
FORD MOTOR CO,2615468,766,"12,246",0.00%
FORTESCUE LTD,6086253,"94,434","1,723,421",0.08%
FORTINET INC COM USD0.001,B5B2106,133,"20,366",0.00%
FORTIS INC COM NPV,2347200,94,"6,302",0.00%
FORTUM OYJ,5579550,110,"2,479",0.00%
FORTUNE BRANDS HOME & SECURI USD0.01,B3MC7D6,"3,808","420,282",0.02%
FOX CORP - CLASS A - W/I,BJJMGL2,61,"4,780",0.00%
FOX CORP- CLASS B,BJJMGY5,18,"1,298",0.00%
FOXCONN INDUSTRIAL INTERNE-A,BG20N99,"15,689","74,207",0.00%
FOXTONS GROUP PLC FOXT,BCKFY51,"160,794","224,422",0.01%
FRANCO-NEVADA CORP COM NPV,B29NF31,31,"5,877",0.00%
FRANKLIN RESOURCES INC,2350684,83,"2,716",0.00%
FRASERS GROUP PLC,B1QH8P2,"2,435","29,990",0.00%
FREEPORT-MCMORAN INC,2352118,"12,042","740,655",0.04%
FRESENIUS MEDICAL CARE AG,5129074,49,"3,591",0.00%
FRESENIUS SE & CO KGAA,4352097,73,"4,108",0.00%
FUJI ELECTRIC CO LTD,6356365,59,"5,159",0.00%
FUJI MEDIA HOLDINGS INC,6036582,"5,888","104,773",0.01%
FUJIAN FOXIT SOFTWARE DEVE-A,BQWRBS5,"1,104","16,310",0.00%
FUJIFILM HOLDINGS CORP,6356525,194,"6,597",0.00%
FUJIKURA LIMITED,6356707,47,"3,154",0.00%
FUTU HOLDINGS LTD-ADR,BGK4T39,12,"1,488",0.00%
FUYAO GROUP GLASS INDUSTR-A,BP3R6K4,"12,839","176,247",0.01%
G5 ENTERTAINMENT AB G5EN,B1FP6W0,508,"8,168",0.00%
G8 EDUCATION LTD NPV,B296314,"1,047,710","1,367,261",0.07%
GALAXY ENTERTAINMENT GROUP L,6465874,540,"3,703",0.00%
GALDERMA GROUP AG,BRC2T72,17,"3,060",0.00%
GALP ENERGIA SGPS SA-B SHRS,B1FW751,87,"2,316",0.00%
GAMING AND LEISURE PROPE-W/I COM USD0.01,BFPK4S5,69,"5,361",0.00%
GARMIN LTD,B3Z5T14,36,"12,083",0.00%
GARTNER INC COM STK USD0.0005,2372763,16,"12,338",0.00%
GATES INDUSTRIAL CORP PLC GTES,BD9G2S1,"16,815","558,637",0.03%
GAZPROM OAO GAZP,B59L4L7,"4,034",0,0.00%
GAZTRANSPORT ET TECHNIGA-W/I EUR0.01,BJYRDP5,"1,179","253,677",0.01%
GD POWER DEVELOPMENT CO -A,BP3R3J2,"32,453","32,699",0.00%
GDI PROPERTY GROUP NPV(STAPLED UNITS),BHB0NV9,"227,498","130,811",0.01%
GE HEALTHCARE TECHNOLOG-W/I,BL6JPG8,91,"11,438",0.00%
GE VERNOVA LLC,BP6H4Y1,53,"27,958",0.00%
GEA GROUP AG AKT,4557104,54,"4,300",0.00%
GEBERIT AG-REG CHF1(REGD),B1WGG93,7,"6,374",0.00%
GECINA SA EUR7.50,7742468,3,529,0.00%
GEM DIAMONDS LTD ORD USD0.01 (DI),B1P8H48,"48,205","10,726",0.00%
GEN DIGITAL INC,BJN4XN5,100,"4,441",0.00%
GENERAL ELECTRIC CO,BL59CR9,952,"256,430",0.01%
GENERAL MLS INC COM,2367026,112,"11,560",0.00%
GENERAL MOTORS CO,B665KZ5,292,"25,156",0.00%
GENERATION DEVELOPMENT GROUP,BF42CQ6,"47,538","171,137",0.01%
GENESIS MINERALS LTD,B23G0X1,"657,223","1,623,342",0.08%
GENMAB A/S DKK1 (BEARER),4595739,14,"4,603",0.00%
GENPACT LTD COM STK USD0.01,B23DBK6,"5,021","348,286",0.02%
GENTING MALAYSIA BHD,B1VXKN7,"84,528","69,002",0.00%
GENTING SINGAPORE LTD GRNS,BDRTVP2,"2,108","1,909",0.00%
GENTRACK GROUP LTD GTK,BNJZLK3,"9,532","110,476",0.01%
GENUINE PARTS CO COM,2367480,27,"5,125",0.00%
GENUSPLUS GROUP LTD,BMCQZF9,"21,250","55,675",0.00%
GETINGE AB-B SHS SER'B'NPV,7698356,59,"1,576",0.00%
GF SECURITIES CO LTD-A,BD5CQ36,"65,671","234,195",0.01%
GFL ENVIRONMENTAL INC-SUB VT,BKDT649,39,"2,782",0.00%
GIANTEC SEMICONDUCTOR CORP-A,BNHNC73,83,"1,065",0.00%
GIGADEVICE SEMICONDUCTOR B-A,BHWLWF8,188,"4,406",0.00%
GILDAN ACTIVEWEAR INC,2254645,64,"4,882",0.00%
GILEAD SCIENCES INC COM,2369174,242,"36,169",0.00%
GIVAUDAN-REG ORD,5980613,2,"12,104",0.00%
GJENSIDIGE FORSIKRING ASA NOK2,B4PH0C5,23,665,0.00%
GLENCORE PLC,B4T3BW6,"31,637","226,153",0.01%
GLOBAL PAYMENTS INC COM STK USD0.001,2712013,"1,485","268,814",0.01%
GLOBAL-E ONLINE LTD,BN770J3,18,"1,620",0.00%
GLOBALWAFERS CO LTD,BS7JP33,"8,361","157,148",0.01%
GLOBE TELECOM INC,6284864,"1,045","63,715",0.00%
GLOBUS MEDICAL INC - A GLOBUS MEDICAL IN,B7D65M0,"4,404","588,299",0.03%
GLODON CO LTD-A,BD5CK01,"6,920","17,903",0.00%
GMO PAYMENT GATEWAY INC NPV,B06CMQ9,"3,850","315,353",0.02%
GODADDY INC - CLASS A GDDY,BWFRFC6,43,"13,827",0.00%
GOERTEK INC -A,BD5CNT1,"7,689","43,661",0.00%
GOLAR LNG LTD COM STK USD1.00,2367963,"2,622","179,234",0.01%
GOLD FIELDS LTD ZAR0.50,6280215,"5,008","105,917",0.01%
GOLD ROAD RESOURCES LTD NPV,B15F5K1,-212,-434,0.00%
GOLDEN OCEAN GROUP LTD,BYN8774,"6,542","94,667",0.00%
GOLDMAN SACHS GROUP IN COM,2407966,66,"60,870",0.00%
GOODMAN GROUP,B03FYZ4,"159,128","5,671,307",0.28%
GPT GROUP NPV (STAPLED SECURITIES),6365866,"52,536","229,582",0.01%
GRAB HOLDINGS LTD - CL A,BP6NH40,386,"2,941",0.00%
GRACO INC COM,2380443,52,"7,090",0.00%
GRAINCORP LTD-A,6102331,"9,376","68,821",0.00%
GRAINGER (W.W) INC COM,2380863,9,"14,853",0.00%
GREAT WALL MOTOR CO LTD-A,BP3R325,"4,360","25,255",0.00%
GREAT WALL MOTOR COMPANY-H,6718255,"175,979","499,816",0.02%
GREAT-WEST LIFECO INC COM,2384951,82,"4,375",0.00%
GREE ELECTRIC APPLIANCES I-A,BD5CPN9,"5,734","57,335",0.00%
GRIFOLS SA,BYY3DX6,46,703,0.00%
GROUPE BRUXELLES LAMBERT SA NPV,7097328,36,"3,943",0.00%
GROUPE EUROTUNNEL SE,B292JQ9,46,"1,175",0.00%
GROWTHPOINT PROPERTIES AUSTRALIA,B1Y9BC8,"66,054","157,209",0.01%
GRUPO AEROPORTUARIO DEL-B SH SER 'B' NPV,B0ZV104,"54,346","1,547,332",0.08%
GRUPO CARSO SAB DE CV-SER A1 COM SER'A1',2393452,"4,058","36,342",0.00%
GRUPO FINANCIERO BANORTE SAB D,2421041,"108,597","1,130,111",0.05%
GRUPO MEXICO SAB DE CV-SER B SER'B'COM N,2643674,"48,078","369,464",0.02%
GSK PLC,BN7SWP6,787,"21,432",0.00%
GUANGDONG HAID GROUP CO-A,BD5CJ60,"1,530","16,511",0.00%
GUANGDONG LY INTELLIGENT M-A,BD5LQY4,"15,878","27,946",0.00%
GUANGXI LIUGONG MACHINERY-A,BD5C904,"40,011","106,158",0.01%
GUANGZHOU GUANGRI STOCK CO-A,BYQDMB5,239,767,0.00%
GUARDIAN MEDICAL SOLUTIONS LIMITED,MFSS000000280807,"3,973",111,0.00%
GUOTAI EPOINT SOFTWARE CO -A,CNE100004ZF3 (ISIN),67,429,0.00%
GUOTAI JUNAN SECURITIES CO-A,BYQDMZ9,764,"3,134",0.00%
GUOYUAN SECURITIES CO LTD-A,BD5CNY6,"40,450","74,396",0.00%
GUZMAN Y GOMEZ LTD,BSLTT82,"14,048","569,928",0.03%
GWA GROUP LTD,6392949,"2,005","4,853",0.00%
HAFNIA LTD,SGXZ53070850 (ISIN),"44,484","384,309",0.02%
HAIDLAO INTERNATIONAL HOLDI,BGN9715,"9,724","32,146",0.00%
HAIER SMART HOME CO LTD-A,BP3R3G9,"30,386","190,318",0.01%
HAIER SMART HOME CO LTD-H,BLD4QD0,"52,024","297,465",0.01%
HAITIAN INTERNATIONAL HLDGS,B1L2RC2,"79,535","348,928",0.02%
HAITONG SECURITIES CO LTD-A,BP3R2S4,"1,108","2,712",0.00%
HAL TRUST UNITS NPV,4402839,204,"39,411",0.00%
HALEON PLC,BMX86B7,"1,337","10,203",0.00%
HALLIBURTON CO COM,2405302,179,"7,860",0.00%
HALMA PLC ORD GBP0.10,405207,67,"3,664",0.00%
HANG LUNG PROPERTIES LTD,6030506,"256,010","331,622",0.02%
HANG SENG BANK,6408374,134,"2,666",0.00%
HANGZHOU ELECTRONIC SOUL N-A,CNE100002GB6 (ISIN),267,"1,167",0.00%
HANGZHOU GREATSTAR INDUSTRIA,BD5CG70,"14,464","102,938",0.01%
HANKYU HANSHIN HOLDINGS INC,6408664,43,"1,815",0.00%
HANNOVER RUECK SE,4511809,13,"5,426",0.00%
HANSEN TECHNOLOGIES LTD NPV,6243252,"3,233","17,299",0.00%
HANSOH PHARMACEUTICAL GROUP,BJYKB72,"30,029","107,890",0.01%
HARGREAVES LANSDOWN PLC ORD GBP0.004,B1VZ0M2,61,"1,350",0.00%
HARTFORD FINL SVCS GRO COM,2476193,73,"12,832",0.00%
HARVEY NORMAN HOLDINGS LTD SHS,6173508,-122,-568,0.00%
HCA HEALTHCARE INC,B4MGBG6,"1,424","690,173",0.03%
HCL TECHNOLOGIES LTD,6294896,"11,334","409,955",0.02%
HDFC BANK LIMITED,BK1N461,"12,064","403,456",0.02%
HDFC BANK LTD-ADR ADR REPS 3 SHS,2781648,"24,941","2,572,432",0.13%
HEALIUS LTD,BFZYRL1,"792,286","1,085,431",0.05%
HEALTHPEAK PROPERTIES INC,BJBLRK3,204,"6,682",0.00%
HEIDELBERG MATERIALS AG,5120679,26,"5,224",0.00%
HEILAN HOME CO LTD -A 600398,BS7K3T8,"48,431","79,911",0.00%
HEINEKEN HOLDING NV -A,B0CCH46,24,"2,318",0.00%
HEINEKEN NV,7792559,"4,143","476,004",0.02%
HELIA GROUP LTD,BP5HL07,"1,426","6,372",0.00%
HELIOS TOWERS PLC HTWS,BJVQC70,"47,742","88,363",0.00%
HELVETIA HOLDING AG-REG,BK6QWF0,7,"1,987",0.00%
HENAN PINGGAO ELECTRIC CO-A,BP3R734,"25,661","108,390",0.01%
HENAN SHENHUO COAL & POWER-A,BD6QWQ2,"1,772","6,589",0.00%
HENDERSON LAND DEVELOPMENT,6420538,"1,949","9,564",0.00%
Henkel AG and CO KGAA,5002465,40,"5,005",0.00%
Henkel AG and Co KGAA,5076705,21,"2,980",0.00%
HENNES & MAURITZ AB-B SHS,5687431,175,"3,823",0.00%
HENRY SCHEIN INC COM USD0.01,2416962,22,"2,509",0.00%
HERMES INTERNATIONAL S ACT,5253973,194,"751,755",0.04%
HERSHEY FOODS CORP COM,2422806,28,"7,572",0.00%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,BYVYWS0,250,"8,607",0.00%
HEXAGON AB-B SHS,BNZFHC1,521,"8,048",0.00%
HEXING ELECTRICAL CO LTD-A 603556,BYW5QY6,"5,365","43,657",0.00%
HF SINCLAIR CORP,BMZQ9C1,18,"1,009",0.00%
HIKARI TSUSHIN INC,6416322,"1,247","441,996",0.02%
HIKMA PHARMACEUTICALS PLC,B0LCW08,-4,-176,0.00%
HI-LEX CORP,6643476,"1,170","18,569",0.00%
HILTON WORLDWIDE HLDGS - W/I HLT-W,BYVMW06,51,"20,532",0.00%
HIMALAYA SHIPPING LTD,BMW64P2,"2,732","21,442",0.00%
HIMALAYA SHIPPING LTD,BN957G1,"2,192","17,116",0.00%
HINDUSTAN AERONAUTICS LTD,BR56KD4,"3,231","254,676",0.01%
HISCOX LTD,BVZHXQ9,730,"15,983",0.00%
HISENSE ELECTRIC CO LTD-A,BP3R7F6,"4,740","20,795",0.00%
HISENSE HOME APPLIANCES G-A,BD5M2M7,"13,082","83,172",0.00%
HITACHI CONSTRUCTION MACHINE,6429405,48,"1,735",0.00%
HITACHI LIMITED COM,6429104,"5,746","232,483",0.01%
HIWIN TECHNOLOGIES CORP TWD10,B1YMYT5,"50,641","820,786",0.04%
HKT TRUST AND HKT SHARE STAPLED UNIT,B4TXDZ3,"1,152","2,299",0.00%
HL MANDO CO LTD,BQJZQJ8,"8,024","357,841",0.02%
HMC CAPITAL LTD,BJRBL61,"76,160","750,941",0.04%
HOKUETSU CORP,6433105,"11,896","186,920",0.01%
HOLCIM LTD,7110753,93,"14,428",0.00%
HOLMEN AB-B SHARES,BDQQ1Q5,36,"2,131",0.00%
HOLOGIC INC COM USD0.01,2433530,41,"4,722",0.00%
HOME DEPOT INC COM,2434209,196,"122,994",0.01%
HOMECO DAILY NEEDS REIT,BNC0NF4,"14,492","16,593",0.00%
HON HAI PRECISION INDS ORD,6438564,"51,016","462,441",0.02%
HONDA MOTOR CO LTD,6435145,843,"13,294",0.00%
HONG KONG & CHINA GAS,6436557,"1,754","2,264",0.00%
HONG KONG EXCHANGES & CLEAR,6267359,"9,324","571,543",0.03%
HONG LEONG FINANCIAL GROUP BERHAD,6436450,"2,711","18,113",0.00%
HONGKONG & SHANGHAI HO,6436386,"141,288","182,723",0.01%
HONGKONG LAND HOLDINGS LTD ORD USD0.10(S,6434915,354,"2,543",0.00%
HORIZON ROBOTICS INC,KYG4602S1057 (ISIN),"224,860","168,311",0.01%
HORMEL FOODS CORP COM USD0.0586,2437264,73,"3,710",0.00%
HOSHIZAKI CORPORATION,B3FF8W8,6,381,0.00%
HOSIDEN CORP HOSIDEN CORP,6439813,"2,480","58,926",0.00%
HOSKEN CONS INVESTMENTS LTD ZAR0.25,6439738,"23,947","336,146",0.02%
HOST HOTELS & RESORTS INC COM STK USD0.0,2567503,132,"3,731",0.00%
HOTEL PROPERTY INVESTMENTS HPI,BGSHGN9,"6,170","23,139",0.00%
HOULIHAN LOKEY INC HLI,BYQ3PM7,"1,001","280,719",0.01%
HOWDEN JOINERY GROUP PLC,557681,"7,311","117,350",0.01%
HOWMET AEROSPACE INC,BKLJ8V2,"3,812","673,415",0.03%
HOYA CORP,6441506,"4,101","835,103",0.04%
HOYUAN GREEN ENERGY CO LTD-A,BK94808,"1,710","6,112",0.00%
HP INC,BYX4D52,211,"11,134",0.00%
HSBC HOLDINGS ORD SHS,540528,"3,842","61,036",0.00%
HUA HONG SEMICONDUCTOR LTD,BRB3857,"14,917","67,150",0.00%
HUATAI SECURITIES CO LTD-A,BP3R3B4,"71,028","274,861",0.01%
HUAXIA BANK CO LTD-A,BP3R2T5,"102,012","179,765",0.01%
HUB24 LTD,BD4T5X1,"13,117","912,968",0.04%
HUBBELL INC -CL B,BDFG6S3,12,"7,936",0.00%
HUBSPOT INC HUBS,BR4T3B3,308,"347,018",0.02%
HULIC CO LTD,6805317,217,"3,049",0.00%
HUMANA INC,2445063,24,"9,997",0.00%
HUNDSUN ELECTRONIC CO LTD-A,BP3R6B5,"1,708","10,520",0.00%
HUNT J B TRANS COM,2445416,20,"5,440",0.00%
HUNTINGTON BANCSHARES COM,2445966,325,"8,551",0.00%
HYATT HOTELS CORP - CL A COM USD0.01 CLA,B5B82X4,14,"3,548",0.00%
HYDRO ONE LTD H,BYYXJY9,58,"2,879",0.00%
HYGON INFORMATION TECHNOLO-A,BQZDHW6,564,"18,572",0.00%
HYUNDAI GLOVIS CO LTD,B0V3XR5,"1,574","203,940",0.01%
IA FINANCIAL CORP INC,BJ2ZH37,12,"1,853",0.00%
IBERDROLA SA,B288C92,"1,171","26,047",0.00%
ICHIGO INC,6549767,"69,322","267,867",0.01%
ICICI BANK LTD,BSZ2BY7,"60,414","1,460,674",0.07%
ICON PLC,B94G471,"4,553","1,542,018",0.07%
IDEMITSU KOSAN CO LTD NPV,B1FF8P7,101,"1,074",0.00%
IDEX CORP USD0.01,2456612,13,"4,244",0.00%
IDEXX LABORATORIES INC COM USD0.10,2459202,358,"238,899",0.01%
IDP EDUCATION LTD IEL,BDB6DD1,"129,467","1,635,167",0.08%
IGM FINANCIAL INC,2469375,2,111,0.00%
IGO LTD,6439567,"265,383","1,265,876",0.06%
IHEARTMEDIA INC - CLASS A IHTM,BJVR9Y9,8,27,0.00%
ILLINOIS TOOL WKS INC COM,2457552,59,"23,971",0.00%
ILLUMINA INC COM USD0.01,2613990,27,"5,863",0.00%
ILUKA RESOURCES LIMITED NPV,6957575,"79,910","403,543",0.02%
IMCD GROUP NV IMCD,BNCBD46,9,"2,136",0.00%
IMDEX LIMITED NPV,6462154,"20,876","48,432",0.00%
IMPALA PLATINUM HOLDINGS LTD ZAR0.025,B1FFT76,"28,965","217,550",0.01%
IMPEDIMED LTD NPV,B282M83,"1,085,582","56,450",0.00%
IMPERIAL BRANDS PLC,454492,"2,909","150,209",0.01%
IMPERIAL OIL LTD COM NEW,2454241,494,"49,163",0.00%
INCITEC PIVOT LTD NPV,6673042,"807,332","2,365,484",0.11%
INCYTE GENOMICS INC COM,2471950,47,"5,255",0.00%
INDITEX,BP9DL90,"1,979","164,270",0.01%
INDOCEMENT TUNGGAL PRAKARSA TBK,6454861,"425,118","315,680",0.02%
INDOSAT TBK,B00FYK2,"161,315","40,145",0.00%
INDRAPRASTHA GAS LTD,BD9PXD0,"51,146","401,038",0.02%
INDUSTRIAL BANK CO LTD -A,BP3R295,"13,364","56,333",0.00%
INDUSTRIVARDEN AB-A SHS INDUA,B1VSK10,3,151,0.00%
INDUSTRIVARDEN AB-C SHS SER'C'NPV,B1VSK54,85,"4,330",0.00%
INDUTRADE AB NPV,B0LDBX7,41,"1,645",0.00%
INFINEON TECHNOLOGIES AG,5889505,"9,002","472,722",0.02%
INFOMEDIA LIMITED INFOMEDIA LIMITED,6268095,"9,329","14,366",0.00%
INFORMA GROUP PLC INFORMA GROUP PLC,BMJ6DW5,434,"7,006",0.00%
INFOSYS LTD,2398822,"9,735","344,643",0.02%
INFRASTRUTTURE WIRELESS ITAL INW,BZ0P4R4,68,"1,120",0.00%
INFRATIL LTD,6459286,150,"1,715",0.00%
INFRATIL LTD IFT,B6923R6,"24,903","288,127",0.01%
ING GROEP NV-CVA,BZ57390,648,"16,386",0.00%
INGENIA COMMUNITIES GROUP,B84GSC7,"1,947","8,916",0.00%
INGERSOLL-RAND INC,BL5GZ82,79,"11,501",0.00%
INGHAMS GROUP LTD ING,BZCNHW2,"15,719","49,988",0.00%
INNER MONGOLIA MENGDIAN HU-A,BP3R723,"33,469","31,883",0.00%
INNER MONGOLIA YILI INDUS-A,BP3R2V7,"9,149","60,745",0.00%
INPEX CORP,B10RB15,206,"4,173",0.00%
INSIGNIA FINANCIAL LTD,6714394,"825,746","2,931,397",0.14%
INSPUR ELECTRONIC INFORMAT-A,BD5CLB9,"1,375","15,694",0.00%
INSULET CORP COM STK USD0.001,B1XGNW4,14,"6,092",0.00%
INSURANCE AUSTRALIA GROUP SHS,6271026,"278,358","2,354,908",0.11%
INTACT FINANCIAL CORP,B04YJV1,35,"10,396",0.00%
INTEL CORP,2463247,871,"28,221",0.00%
INTELLIGENT MONITORING GROUP,BMF19D7,"107,873","60,409",0.00%
INTERACTIVE BROKERS GRO-CL A COM STK CLA,B1WT4X2,"1,510","430,806",0.02%
INTERCONTINENTAL EXCHANGE INC,BFSSDS9,117,"28,083",0.00%
INTERCONTINENTAL HOTELS GROU,BHJYC05,53,"10,687",0.00%
INTERFOR CORPORATION,BMJ71W4,341,"6,434",0.00%
INTERGAL DIAGNOSTICS LTD,BYV2ZK7,"100,865","293,518",0.01%
INTERNATIONAL BUSINESS COM,2005973,186,"66,028",0.00%
INTERNATIONAL FLAVORS& COM,2464165,43,"5,807",0.00%
INTERNATIONAL SEAWAYS INC-WI,BYX60M4,"4,303","249,756",0.01%
INTERPUBLIC GROUP COS COM,2466321,108,"4,909",0.00%
INTERTEK GROUP PLC ORD GBP0.01,3163836,37,"3,519",0.00%
INTESA SANPAOLO,4076836,"2,879","18,604",0.00%
INTL CONSOLIDATED AIRLINE-DI,B5M6XQ7,"13,420","81,953",0.00%
INTL PAPER CO COM,2465254,95,"8,294",0.00%
INTUIT INC,2459020,"1,534","1,557,398",0.08%
INTUITIVE SURGICAL INC COM USD0.001,2871301,"2,102","1,771,731",0.09%
INVESTMENT AB LATOUR-B SHS,BZ404X1,-49,"-1,963",0.00%
INVESTOR AB-B SHS,BMV7PQ4,"3,220","137,763",0.01%
