Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ALBEMARLE CORP,2046853,23,"3,228",0.00%
ALBERTSONS COS INC - CLASS A,BYNQ369,87,"2,763",0.00%
ALCOA CORP,BYNF418,"3,320","202,567",0.01%
ALCOA CORP-CDI,BSY2LN7,"77,758","4,612,633",0.22%
ALCON INC,BJT1GR5,91,"12,497",0.00%
ALDAR PROPERTIES PJSC ALDAR,B0LX3Y2,"87,613","295,875",0.01%
ALEXANDRIA REAL ESTATE EQUIT COM STK USD,2009210,39,"6,143",0.00%
ALFA LAVAL AB,7332687,126,"8,511",0.00%
ALIBABA GROUP HOLDING LTD,BK6YZP5,"40,324","690,859",0.03%
ALIBABA GROUP HOLDING-SP ADR,BP41ZD1,"3,074","420,951",0.02%
ALIGN TECHNOLOGY INC COM USD0.0001,2679204,"1,161","390,919",0.02%
ALIMENTATION COUCHE-TARD INC,BL56KN2,195,"17,475",0.00%
ALLEGION PLC CIM USD0.01 'WI',BFRT3W7,"1,255","264,942",0.01%
ALLFUNDS GROUP PLC,BNTJ354,"79,312","668,538",0.03%
ALLIANT ENERGY CORP COM,2973821,43,"4,154",0.00%
ALLIANZ SE-REG,5231485,76,"37,484",0.00%
ALLSTATE CORP COM,2019952,54,"16,834",0.00%
ALLY FINANCIAL INC ALLY,B72XK05,63,"3,678",0.00%
ALNYLAM PHARMACEUTICALS INC COM USD0.01,B00FWN1,24,"8,946",0.00%
ALPHA HPA LTD,BH0K666,"118,518","105,481",0.01%
ALPHA METALLURGICAL RESOURCE,BMFND53,310,"100,072",0.00%
ALPHABET INC-CL A,BYVY8G0,"11,511","3,519,264",0.17%
ALPHABET INC-CL C,BYY88Y7,"4,095","1,259,678",0.06%
ALS LTD,B86SZR5,"147,679","2,227,002",0.11%
ALSTOM,B0DJ8Q5,95,"3,422",0.00%
ALSTOM SA-SCRIP,BMY8SG5,0,0,0.00%
ALTAGAS LTD COM NPV,B43WJC5,16,618,0.00%
ALTIUS MINERALS CORPORATION COM NPV,2122355,"9,299","277,999",0.01%
ALTRIA GROUP INC,2692632,349,"29,488",0.00%
ALUMINUM CORP OF CHINA LTD,BP3R4D3,"21,023","33,994",0.00%
AMADEUS IT GROUP SA,B3MSM28,"3,907","445,643",0.02%
AMAERO INTERNATIONAL LTD,BKRQJZ8,"377,229","94,307",0.00%
AMAZON COM INC COM,2000019,"16,558","5,867,046",0.29%
AMCOR PLC,BJ1F307,250,"3,807",0.00%
AMCOR PLC-CDI,6066608,"161,048","2,410,882",0.12%
AMERADA HESS CORP COM,2023748,53,"11,325",0.00%
AMEREN CORP COM,2050832,70,"10,030",0.00%
AMERICA MOVIL SAB DE C-SER B,BMVRB77,"148,196","172,097",0.01%
AMERICA MOVIL SAB DE CV,BNHN4P5,"56,349","1,302,351",0.06%
AMERICAN AIRLINES GROUP INC COM USD1,BCV7KT2,"7,831","220,467",0.01%
AMERICAN ELEC PWR INC COM,2026242,99,"14,696",0.00%
AMERICAN EXPRESS CO COM,2026082,"3,937","1,887,163",0.09%
AMERICAN FINL GROUP IN COM,2134532,13,"2,947",0.00%
AMERICAN HOMES 4 RENT- A AMERICAN HOMES,BCF5RR9,79,"4,804",0.00%
AMERICAN INTL GROUP IN COM,2027342,"6,979","820,584",0.04%
AMERICAN TOWER CORP COM NEW USD0.01,B7FBFL2,91,"26,873",0.00%
AMERICAN WATER WORKS CO INC COM STK USD0,B2R3PV1,47,"9,479",0.00%
AMERIPRISE FINANCIAL INC COM,B0J7D57,21,"18,426",0.00%
AMETEK INC COM USD0.01,2089212,38,"11,090",0.00%
AMGEN INC COM,2023607,110,"46,155",0.00%
AMOREPACIFIC CORP,B15SK50,"4,509","518,466",0.03%
AMOTIV LTD,BQH8HH4,"16,860","178,720",0.01%
AMP LIMITED,6709958,"110,683","175,432",0.01%
AMPHENOL CORP-CL A CL A,2145084,"1,438","161,255",0.01%
AMPLIFON SPA EUR0.02,B14NJ71,16,658,0.00%
AMPLITUDE ENERGY LTD,AU0000361909 (ISIN),"691,834","141,826",0.01%
AMPOL LTD,BM91201,"31,186","879,138",0.04%
AMS-OSRAM AG,BQPGGN9,"17,684","187,081",0.01%
AMUNDI SA AMUN,BYZR014,3,312,0.00%
ANA HOLDINGS INC,6014908,10,287,0.00%
ANALOG DEVICES INC COM,2032067,99,"33,864",0.00%
ANGLO AMERICAN PLATINUM LTD,6761000,"2,290","111,503",0.01%
ANGLO AMERICAN PLC,B1XZS82,"12,331","589,627",0.03%
ANHEUSER-BUSCH INBEV SA/NV,BYYHL23,144,"11,626",0.00%
ANHUI CONCH CEMENT CO LTD-A,BP3R2Z1,"8,168","42,733",0.00%
ANHUI KOUZI DISTILLERY CO -A,BYQDNL2,"3,425","29,567",0.00%
ANHUI YINGJIA DISTILLERY C-A,BYV1VH3,"2,386","28,316",0.00%
ANHUI ZHONGDING SEALING PA-A,BD5CL31,"14,578","42,079",0.00%
ANKER INNOVATIONS TECHNOLO-A,BNR4MR6,"4,375","93,973",0.00%
ANNALY CAPITAL MANAGEMENT IN,BPMQ7X2,73,"2,160",0.00%
ANSELL LTD ORD,6286611,"107,767","3,644,668",0.18%
ANSYS INC COM USD0.01,2045623,19,"10,170",0.00%
ANTA SPORTS PRODUCTS LTD,B1YVKN8,"3,454","55,908",0.00%
ANTOFAGASTA PLC,45614,"13,532","435,212",0.02%
ANZ Bank,AU000000ANZ3,"251,319","7,172,649",0.35%
AON PLC,BLP1HW5,"1,289","747,589",0.04%
AP MOELLER-MAERSK A/S-B,4253048,22,"59,204",0.00%
APA CORP,BNNF1C1,42,"1,564",0.00%
APA GROUP NPV,B931078,"13,780","96,045",0.00%
APOLLO GLOBAL MANAGEMENT INC,BN44JF6,"1,300","346,874",0.02%
APOLLO HOSPITALS ENTERPRISE LTD,6273583,"1,780","245,037",0.01%
APPLE INC,2046251,"6,459","2,612,208",0.13%
APPLIED MATLS INC COM,2046552,607,"159,529",0.01%
APPLOVIN CORP-CLASS A,BMV3LG4,"2,150","1,124,523",0.05%
APTIV HOLDINGS LTD,JE00BTDN8H13 (ISIN),63,"6,133",0.00%
ARB CORPORATION LIMITED NPV,BWV03W5,"5,522","224,264",0.01%
ARC RESOURCES LTD COM NPV,B6463M8,146,"4,288",0.00%
ARCA CONTINENTAL SAB DE CV,2823885,"12,109","162,484",0.01%
ARCADIS NV EUR0.05,5769209,"3,102","305,030",0.01%
ARCADIUM LITHIUM PLC-CDI,BS715X9,-9,-75,0.00%
ARCH CAPITAL GROUP LTD COM USD0.01,2740542,95,"14,220",0.00%
ARCH RESOURCES INC,BLB8B95,683,"155,727",0.01%
ARCHER DANIELS MIDLAND COM,2047317,109,"8,857",0.00%
ARENA REIT,B99K263,"68,581","266,778",0.01%
ARES MANAGEMENT CORP,BF14BT1,29,"8,361",0.00%
ARGENX SE ARGX,BNHKYX4,12,"12,113",0.00%
ARISTA NETWORKS INC,US0404132054 (ISIN),208,"37,134",0.00%
ARISTOCRAT LEISURE LTD,6253983,"73,581","5,030,027",0.24%
ARKEMA EUR10,B0Z5YZ2,10,"1,202",0.00%
ARTHUR J GALLAGHER & CO COM,2359506,54,"24,536",0.00%
ASAHI GROUP HOLDINGS LTD,6054409,286,"4,864",0.00%
ASAHI KASEI CORP ORD,6054603,160,"1,801",0.00%
ASANA INC - CL A,BLFDQC4,"11,226","367,506",0.02%
ASE TECHNOLOGY HOLDINGS CO LTD,BFXZDY1,"35,140","280,449",0.01%
ASHTEAD GROUP PLC ORD GBP0.10,53673,97,"9,758",0.00%
ASICS CORP,6057378,"19,282","616,263",0.03%
ASM INTERNATIONAL NV COM,5165294,381,"356,216",0.02%
ASML HOLDING NV,B929F46,"2,914","3,307,394",0.16%
ASMPT LTD,6002453,"26,815","417,596",0.02%
ASOS PLC ORD GBP0.035,3092725,"21,968","197,826",0.01%
ASPEN TECHNOLOGY INC,BP2V812,7,"2,913",0.00%
ASR NEDERLAND NV-W/I,BD9PNF2,-26,"-2,027",0.00%
ASSA ABLOY AB-B,BYPC1T4,"5,646","269,706",0.01%
ASSICURAZIONI GENERALI,4056719,163,"7,438",0.00%
ASSOCIATED BRITISH FOODS PLC,673123,"2,225","91,956",0.00%
ASSURANT INC COM USD0.01,2331430,13,"4,612",0.00%
ASTELLAS PHARMA INC SHS,6985383,289,"4,551",0.00%
ASTRAZENECA PLC,989529,316,"67,003",0.00%
ASUSTEK COMPUTER INC ORD,6051046,"10,098","306,431",0.01%
ASYMCHEM LABORATORIES TIAN-A,BD6V5C4,485,"8,114",0.00%
AT&T INC,2831811,"1,444","53,105",0.00%
ATLANTA BRAVES HOLDINGS IN-C,BRF2GD4,3,190,0.00%
Atlas Arteria,BZ03TZ1,"85,295","405,150",0.02%
ATLAS COPCO AB-A SHS,BLDBN41,370,"9,141",0.00%
ATLAS COPCO AB-B SHS,BLDBN52,603,"13,177",0.00%
ATLASSIAN CORP PLC-CLASS A,BQ1PC76,"3,316","1,303,299",0.06%
ATMOS ENERGY CORP,2315359,23,"5,100",0.00%
AUB GROUP LTD,B0MBNC3,"44,101","1,375,941",0.07%
AUCKLAND INTL AIRPORT LTD,BKX3XG2,488,"3,839",0.00%
AUCKLAND INTL AIRPORT LTD NPV,BLRZSS8,"41,854","324,789",0.02%
AUCTION TECHNOLOGY GROUP-WI,BMVQDZ6,"33,688","374,783",0.02%
AUDINATE GROUP LTD AD8,BZ9N3B6,-15,-108,0.00%
AURIZON HOLDINGS LTD,B87CVM3,"403,759","1,312,218",0.06%
AUSTIN ENGINEERING LTD NPV,6710615,"201,213","102,619",0.00%
AUSTRALIAN CLINICAL LABS LTD,BMWLLJ0,"33,959","116,819",0.01%
AUSTRALIAN STOCK EXCHANGE NPV,6129222,"9,529","620,179",0.03%
AUSTRALIAN VINTAGE LIMITED,6130677,"31,966","4,475",0.00%
AUTEL INTELLIGENT TECHNOLO-A,BNR4NW8,"5,050","43,508",0.00%
AUTO TRADER GROUP PLC AUTO,BVYVFW2,"22,887","367,114",0.02%
AUTODESK INC COM,2065159,"3,245","1,548,928",0.08%
AUTOHELLAS SA OTOEL,BDZTGG0,"1,558","26,519",0.00%
AUTOMATIC DATA PROCESS COM,2065308,"2,468","1,166,741",0.06%
AUTOZONE INC COM,2065955,4,"20,200",0.00%
