Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
AMERICAN INTL GROUP IN COM,2027342,72,"8,463",0.02%
AMERICAN TOWER CORP COM NEW USD0.01,B7FBFL2,1,283,0.00%
AMERICAN WATER WORKS CO INC COM STK USD0,B2R3PV1,0,100,0.00%
AMERIPRISE FINANCIAL INC COM,B0J7D57,0,194,0.00%
AMETEK INC COM USD0.01,2089212,0,118,0.00%
AMGEN INC COM,2023607,1,486,0.00%
AMOREPACIFIC CORP,B15SK50,24,"2,777",0.01%
AMOTIV LTD,BQH8HH4,169,"1,788",0.00%
AMP LIMITED,6709958,"1,108","1,756",0.00%
AMPHENOL CORP-CL A CL A,2145084,15,"1,668",0.00%
AMPLIFON SPA EUR0.02,B14NJ71,0,7,0.00%
AMPLITUDE ENERGY LTD,AU0000361909 (ISIN),"6,922","1,419",0.00%
AMPOL LTD,BM91201,312,"8,797",0.02%
AMS-OSRAM AG,BQPGGN9,182,"1,929",0.00%
AMUNDI SA AMUN,BYZR014,0,3,0.00%
ANA HOLDINGS INC,6014908,0,3,0.00%
ANALOG DEVICES INC COM,2032067,1,357,0.00%
ANGLO AMERICAN PLATINUM LTD,6761000,24,"1,149",0.00%
ANGLO AMERICAN PLC,B1XZS82,127,"6,081",0.01%
ANHEUSER-BUSCH INBEV SA/NV,BYYHL23,2,124,0.00%
ANHUI CONCH CEMENT CO LTD-A,BP3R2Z1,44,229,0.00%
ANHUI KOUZI DISTILLERY CO -A,BYQDNL2,18,158,0.00%
ANHUI YINGJIA DISTILLERY C-A,BYV1VH3,13,152,0.00%
ANHUI ZHONGDING SEALING PA-A,BD5CL31,78,225,0.00%
ANKER INNOVATIONS TECHNOLO-A,BNR4MR6,23,503,0.00%
ANNALY CAPITAL MANAGEMENT IN,BPMQ7X2,1,23,0.00%
ANSELL LTD ORD,6286611,"1,078","36,469",0.07%
ANSYS INC COM USD0.01,2045623,0,107,0.00%
ANTA SPORTS PRODUCTS LTD,B1YVKN8,36,576,0.00%
ANTOFAGASTA PLC,45614,102,"3,265",0.01%
ANZ Bank,AU000000ANZ3,"2,515","71,779",0.13%
AON PLC,BLP1HW5,13,"7,712",0.01%
AP MOELLER-MAERSK A/S-B,4253048,0,611,0.00%
APA CORP,BNNF1C1,0,17,0.00%
APA GROUP NPV,B931078,138,962,0.00%
APOLLO GLOBAL MANAGEMENT INC,BN44JF6,13,"3,581",0.01%
APOLLO HOSPITALS ENTERPRISE LTD,6273583,10,"1,312",0.00%
APPLE INC,2046251,67,"27,209",0.05%
APPLIED MATLS INC COM,2046552,6,"1,654",0.00%
APPLOVIN CORP-CLASS A,BMV3LG4,22,"11,597",0.02%
APTIV HOLDINGS LTD,JE00BTDN8H13 (ISIN),1,64,0.00%
ARB CORPORATION LIMITED NPV,BWV03W5,55,"2,244",0.00%
ARC RESOURCES LTD COM NPV,B6463M8,2,45,0.00%
ARCA CONTINENTAL SAB DE CV,2823885,65,870,0.00%
ARCADIS NV EUR0.05,5769209,32,"3,145",0.01%
ARCADIUM LITHIUM PLC-CDI,BS715X9,0,0,0.00%
ARCH CAPITAL GROUP LTD COM USD0.01,2740542,1,149,0.00%
ARCH RESOURCES INC,BLB8B95,7,"1,605",0.00%
ARCHER DANIELS MIDLAND COM,2047317,1,93,0.00%
ARENA REIT,B99K263,686,"2,670",0.00%
ARES MANAGEMENT CORP,BF14BT1,0,89,0.00%
ARGENX SE ARGX,BNHKYX4,0,127,0.00%
ARISTA NETWORKS INC,US0404132054 (ISIN),2,391,0.00%
ARISTOCRAT LEISURE LTD,6253983,736,"50,335",0.09%
ARKEMA EUR10,B0Z5YZ2,0,12,0.00%
ARTHUR J GALLAGHER & CO COM,2359506,1,257,0.00%
ASAHI GROUP HOLDINGS LTD,6054409,3,51,0.00%
ASAHI KASEI CORP ORD,6054603,2,19,0.00%
ASANA INC - CL A,BLFDQC4,116,"3,789",0.01%
ASE TECHNOLOGY HOLDINGS CO LTD,BFXZDY1,188,"1,502",0.00%
ASHTEAD GROUP PLC ORD GBP0.10,53673,1,102,0.00%
ASICS CORP,6057378,199,"6,354",0.01%
ASM INTERNATIONAL NV COM,5165294,4,"3,675",0.01%
ASML HOLDING NV,B929F46,30,"34,116",0.06%
ASMPT LTD,6002453,144,"2,237",0.00%
ASOS PLC ORD GBP0.035,3092725,226,"2,039",0.00%
ASPEN TECHNOLOGY INC,BP2V812,0,30,0.00%
ASR NEDERLAND NV-W/I,BD9PNF2,0,-20,0.00%
ASSA ABLOY AB-B,BYPC1T4,58,"2,782",0.01%
ASSICURAZIONI GENERALI,4056719,2,79,0.00%
ASSOCIATED BRITISH FOODS PLC,673123,23,948,0.00%
ASSURANT INC COM USD0.01,2331430,0,48,0.00%
ASTELLAS PHARMA INC SHS,6985383,3,48,0.00%
ASTRAZENECA PLC,989529,3,706,0.00%
ASUSTEK COMPUTER INC ORD,6051046,54,"1,641",0.00%
ASYMCHEM LABORATORIES TIAN-A,BD6V5C4,3,43,0.00%
AT&T INC,2831811,15,559,0.00%
ATLANTA BRAVES HOLDINGS IN-C,BRF2GD4,0,2,0.00%
Atlas Arteria,BZ03TZ1,854,"4,054",0.01%
ATLAS COPCO AB-A SHS,BLDBN41,4,98,0.00%
ATLAS COPCO AB-B SHS,BLDBN52,6,138,0.00%
ATLASSIAN CORP PLC-CLASS A,BQ1PC76,34,"13,439",0.02%
ATMOS ENERGY CORP,2315359,0,54,0.00%
AUB GROUP LTD,B0MBNC3,441,"13,768",0.03%
AUCKLAND INTL AIRPORT LTD,BKX3XG2,5,40,0.00%
AUCKLAND INTL AIRPORT LTD NPV,BLRZSS8,419,"3,250",0.01%
AUCTION TECHNOLOGY GROUP-WI,BMVQDZ6,347,"3,864",0.01%
AUDINATE GROUP LTD AD8,BZ9N3B6,0,-1,0.00%
AURIZON HOLDINGS LTD,B87CVM3,"4,040","13,131",0.02%
AUSTIN ENGINEERING LTD NPV,6710615,"2,013","1,027",0.00%
AUSTRALIAN CLINICAL LABS LTD,BMWLLJ0,340,"1,169",0.00%
AUSTRALIAN STOCK EXCHANGE NPV,6129222,95,"6,207",0.01%
AUSTRALIAN VINTAGE LIMITED,6130677,320,45,0.00%
AUTEL INTELLIGENT TECHNOLO-A,BNR4NW8,27,233,0.00%
AUTO TRADER GROUP PLC AUTO,BVYVFW2,236,"3,785",0.01%
AUTODESK INC COM,2065159,33,"15,973",0.03%
AUTOHELLAS SA OTOEL,BDZTGG0,16,273,0.00%
AUTOMATIC DATA PROCESS COM,2065308,25,"12,037",0.02%
AUTOZONE INC COM,2065955,0,212,0.00%
AVALONBAY COMMUNITIES INC COM USD0.01,2131179,0,99,0.00%
AVANOS MEDICAL INC,BFFVV54,134,"3,454",0.01%
AVANTOR INC AVTR,BJLT387,1,44,0.00%
AVARY HOLDING SHENZHEN CO -A,BKDQ800,6,49,0.00%
AVERY DENNISON CORP COM,2066408,0,64,0.00%
AVIVA PLC,BPQY8M8,6,56,0.00%
Avolta,B0R80X9,0,15,0.00%
AVZ MINERALS LTD AVZ,B23G0B9,-2,-1,0.00%
AXA PARIS ACT ORD,7088429,4,220,0.00%
AXIS CAPITAL HOLDINGS LTD COM USD0.0125,2677606,20,"2,887",0.01%
AXON ENTERPRISE INC,BDT5S35,0,146,0.00%
AZELIS GROUP NV,BMHT025,40,"1,284",0.00%
AZRIELI GROUP ILS0.01,B5MN1W0,0,-7,0.00%
B3 SA-BRASIL BOLSA BALCAO,BG36ZK1,"1,390","3,749",0.01%
BACHEM HOLDING AG-REG B,BMXVKB4,0,23,0.00%
BAKER HUGHES A GE CO,BDHLTQ5,2,140,0.00%
BALL CORP COM,2073022,1,58,0.00%
BALOISE HOLDING AG - REG,7124594,0,12,0.00%
BANCO BILBAO VIZCAYA ARGENTA,5501906,12,188,0.00%
BANCO BPM SPA,BYMD5K9,1,17,0.00%
BANCO BRADESCO SA-PREF PRF NPV,B00FM53,529,"1,598",0.00%
BANCO DE SABADELL SA EUR0.5,B1X8QN2,12,38,0.00%
BANCO DO BRASIL SA COM NPV,2328595,167,"1,055",0.00%
