Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
FIRSTENERGY CORP COM,2100920,1,63,0.00%
FIRSTSERVICE CORP,BJMKSJ5,0,-3,0.00%
FISERV INC,2342034,33,"10,915",0.02%
FISHER & PAYKEL HEALTHCARE C,6340250,1,47,0.00%
FISHER & PAYKEL HEALTHCARE C NPV,6423968,975,"34,067",0.06%
FLEETPARTNERS GROUP LTD,BN7HDZ0,469,"1,262",0.00%
FLETCHER BUILDING LTD NPV,6341617,"4,780","12,189",0.02%
FLIGHT CENTRE TRAVEL GROUP LTD,6352147,325,"5,423",0.01%
FLUTTER ENTERTAINMENT PLC,BWXC0Z1,28,"11,904",0.02%
FLUTTER ENTERTAINMENT PLC,BWZMZF4,0,158,0.00%
FNF GROUP,BNBRDD4,1,87,0.00%
FOMENTO ECONOMICO MEXICANO SAB,2246039,7,"1,021",0.00%
FORAN MINING CORPORATION,2355731,49,214,0.00%
FORD MOTOR CO,2615468,8,129,0.00%
FORTESCUE LTD,6086253,945,"17,248",0.03%
FORTINET INC COM USD0.001,B5B2106,1,215,0.00%
FORTIS INC COM NPV,2347200,1,67,0.00%
FORTUM OYJ,5579550,1,26,0.00%
FORTUNE BRANDS HOME & SECURI USD0.01,B3MC7D6,39,"4,333",0.01%
FOX CORP - CLASS A - W/I,BJJMGL2,1,51,0.00%
FOX CORP- CLASS B,BJJMGY5,0,14,0.00%
FOXCONN INDUSTRIAL INTERNE-A,BG20N99,84,397,0.00%
FOXTONS GROUP PLC FOXT,BCKFY51,"1,658","2,314",0.00%
FRANCO-NEVADA CORP COM NPV,B29NF31,0,62,0.00%
FRANKLIN RESOURCES INC,2350684,1,28,0.00%
FRASERS GROUP PLC,B1QH8P2,25,309,0.00%
FREEPORT-MCMORAN INC,2352118,124,"7,639",0.01%
FRESENIUS MEDICAL CARE AG,5129074,1,37,0.00%
FRESENIUS SE & CO KGAA,4352097,1,43,0.00%
FUJI ELECTRIC CO LTD,6356365,1,54,0.00%
FUJI MEDIA HOLDINGS INC,6036582,61,"1,080",0.00%
FUJIAN FOXIT SOFTWARE DEVE-A,BQWRBS5,6,87,0.00%
FUJIFILM HOLDINGS CORP,6356525,2,70,0.00%
FUJIKURA LIMITED,6356707,0,33,0.00%
FUTU HOLDINGS LTD-ADR,BGK4T39,0,16,0.00%
FUYAO GROUP GLASS INDUSTR-A,BP3R6K4,69,944,0.00%
G5 ENTERTAINMENT AB G5EN,B1FP6W0,5,84,0.00%
G8 EDUCATION LTD NPV,B296314,"10,483","13,681",0.03%
GALAXY ENTERTAINMENT GROUP L,6465874,6,39,0.00%
GALDERMA GROUP AG,BRC2T72,0,34,0.00%
GALP ENERGIA SGPS SA-B SHRS,B1FW751,1,24,0.00%
GAMING AND LEISURE PROPE-W/I COM USD0.01,BFPK4S5,1,56,0.00%
GARMIN LTD,B3Z5T14,0,127,0.00%
GARTNER INC COM STK USD0.0005,2372763,0,130,0.00%
GATES INDUSTRIAL CORP PLC GTES,BD9G2S1,173,"5,759",0.01%
GAZPROM OAO GAZP,B59L4L7,42,0,0.00%
GAZTRANSPORT ET TECHNIGA-W/I EUR0.01,BJYRDP5,12,"2,615",0.00%
GD POWER DEVELOPMENT CO -A,BP3R3J2,174,175,0.00%
GDI PROPERTY GROUP NPV(STAPLED UNITS),BHB0NV9,"2,276","1,309",0.00%
GE HEALTHCARE TECHNOLOG-W/I,BL6JPG8,1,121,0.00%
GE VERNOVA LLC,BP6H4Y1,1,295,0.00%
GEA GROUP AG AKT,4557104,1,45,0.00%
GEBERIT AG-REG CHF1(REGD),B1WGG93,0,67,0.00%
GECINA SA EUR7.50,7742468,0,6,0.00%
GEM DIAMONDS LTD ORD USD0.01 (DI),B1P8H48,497,111,0.00%
GEN DIGITAL INC,BJN4XN5,1,47,0.00%
GENERAL ELECTRIC CO,BL59CR9,10,"2,657",0.00%
GENERAL MLS INC COM,2367026,1,122,0.00%
GENERAL MOTORS CO,B665KZ5,3,264,0.00%
GENERATION DEVELOPMENT GROUP,BF42CQ6,476,"1,712",0.00%
GENESIS MINERALS LTD,B23G0X1,"6,576","16,243",0.03%
GENMAB A/S DKK1 (BEARER),4595739,0,48,0.00%
GENPACT LTD COM STK USD0.01,B23DBK6,52,"3,590",0.01%
GENTING MALAYSIA BHD,B1VXKN7,871,711,0.00%
GENTING SINGAPORE LTD GRNS,BDRTVP2,22,20,0.00%
GENTRACK GROUP LTD GTK,BNJZLK3,95,"1,106",0.00%
GENUINE PARTS CO COM,2367480,0,54,0.00%
GENUSPLUS GROUP LTD,BMCQZF9,213,557,0.00%
GETINGE AB-B SHS SER'B'NPV,7698356,1,17,0.00%
GF SECURITIES CO LTD-A,BD5CQ36,352,"1,254",0.00%
GFL ENVIRONMENTAL INC-SUB VT,BKDT649,0,29,0.00%
GIANTEC SEMICONDUCTOR CORP-A,BNHNC73,0,6,0.00%
GIGADEVICE SEMICONDUCTOR B-A,BHWLWF8,1,24,0.00%
GILDAN ACTIVEWEAR INC,2254645,1,51,0.00%
GILEAD SCIENCES INC COM,2369174,3,381,0.00%
GIVAUDAN-REG ORD,5980613,0,128,0.00%
GJENSIDIGE FORSIKRING ASA NOK2,B4PH0C5,0,7,0.00%
GLENCORE PLC,B4T3BW6,327,"2,335",0.00%
GLOBAL PAYMENTS INC COM STK USD0.001,2712013,15,"2,773",0.01%
GLOBAL-E ONLINE LTD,BN770J3,0,17,0.00%
GLOBALWAFERS CO LTD,BS7JP33,45,842,0.00%
GLOBE TELECOM INC,6284864,11,657,0.00%
GLOBUS MEDICAL INC - A GLOBUS MEDICAL IN,B7D65M0,45,"6,065",0.01%
GLODON CO LTD-A,BD5CK01,37,96,0.00%
GMO PAYMENT GATEWAY INC NPV,B06CMQ9,40,"3,251",0.01%
GODADDY INC - CLASS A GDDY,BWFRFC6,0,145,0.00%
GOERTEK INC -A,BD5CNT1,41,234,0.00%
GOLAR LNG LTD COM STK USD1.00,2367963,27,"1,848",0.00%
GOLD FIELDS LTD ZAR0.50,6280215,52,"1,092",0.00%
GOLD ROAD RESOURCES LTD NPV,B15F5K1,-2,-4,0.00%
GOLDEN OCEAN GROUP LTD,BYN8774,67,976,0.00%
GOLDMAN SACHS GROUP IN COM,2407966,1,641,0.00%
GOODMAN GROUP,B03FYZ4,"1,592","56,755",0.10%
GPT GROUP NPV (STAPLED SECURITIES),6365866,526,"2,298",0.00%
GRAB HOLDINGS LTD - CL A,BP6NH40,4,31,0.00%
GRACO INC COM,2380443,1,74,0.00%
GRAINCORP LTD-A,6102331,94,689,0.00%
GRAINGER (W.W) INC COM,2380863,0,157,0.00%
GREAT WALL MOTOR CO LTD-A,BP3R325,23,135,0.00%
GREAT WALL MOTOR COMPANY-H,6718255,942,"2,677",0.00%
GREAT-WEST LIFECO INC COM,2384951,1,46,0.00%
GREE ELECTRIC APPLIANCES I-A,BD5CPN9,31,307,0.00%
GRIFOLS SA,BYY3DX6,0,7,0.00%
GROUPE BRUXELLES LAMBERT SA NPV,7097328,0,41,0.00%
GROUPE EUROTUNNEL SE,B292JQ9,0,13,0.00%
GROWTHPOINT PROPERTIES AUSTRALIA,B1Y9BC8,661,"1,573",0.00%
GRUPO AEROPORTUARIO DEL-B SH SER 'B' NPV,B0ZV104,291,"8,287",0.02%
GRUPO CARSO SAB DE CV-SER A1 COM SER'A1',2393452,42,375,0.00%
GRUPO FINANCIERO BANORTE SAB D,2421041,582,"6,053",0.01%
GRUPO MEXICO SAB DE CV-SER B SER'B'COM N,2643674,257,"1,979",0.00%
GSK PLC,BN7SWP6,8,226,0.00%
GUANGDONG HAID GROUP CO-A,BD5CJ60,8,88,0.00%
GUANGDONG LY INTELLIGENT M-A,BD5LQY4,85,150,0.00%
GUANGXI LIUGONG MACHINERY-A,BD5C904,214,569,0.00%
GUANGZHOU GUANGRI STOCK CO-A,BYQDMB5,1,4,0.00%
GUARDIAN MEDICAL SOLUTIONS LIMITED,MFSS000000280807,40,1,0.00%
GUOTAI EPOINT SOFTWARE CO -A,CNE100004ZF3 (ISIN),0,2,0.00%
GUOTAI JUNAN SECURITIES CO-A,BYQDMZ9,4,17,0.00%
GUOYUAN SECURITIES CO LTD-A,BD5CNY6,217,398,0.00%
GUZMAN Y GOMEZ LTD,BSLTT82,141,"5,703",0.01%
GWA GROUP LTD,6392949,20,49,0.00%
HAFNIA LTD,SGXZ53070850 (ISIN),459,"3,962",0.01%
HAIDLAO INTERNATIONAL HOLDI,BGN9715,100,331,0.00%
HAIER SMART HOME CO LTD-A,BP3R3G9,163,"1,019",0.00%
HAIER SMART HOME CO LTD-H,BLD4QD0,279,"1,593",0.00%
HAITIAN INTERNATIONAL HLDGS,B1L2RC2,426,"1,869",0.00%
HAITONG SECURITIES CO LTD-A,BP3R2S4,6,15,0.00%
HAL TRUST UNITS NPV,4402839,2,406,0.00%
HALEON PLC,BMX86B7,14,108,0.00%
HALLIBURTON CO COM,2405302,2,83,0.00%
HALMA PLC ORD GBP0.10,405207,1,38,0.00%
HANG LUNG PROPERTIES LTD,6030506,"1,371","1,776",0.00%
HANG SENG BANK,6408374,1,28,0.00%
HANGZHOU ELECTRONIC SOUL N-A,CNE100002GB6 (ISIN),1,6,0.00%
HANGZHOU GREATSTAR INDUSTRIA,BD5CG70,77,551,0.00%
HANKYU HANSHIN HOLDINGS INC,6408664,0,19,0.00%
HANNOVER RUECK SE,4511809,0,57,0.00%
HANSEN TECHNOLOGIES LTD NPV,6243252,32,173,0.00%
HANSOH PHARMACEUTICAL GROUP,BJYKB72,161,578,0.00%
HARGREAVES LANSDOWN PLC ORD GBP0.004,B1VZ0M2,1,14,0.00%
HARTFORD FINL SVCS GRO COM,2476193,1,135,0.00%
HARVEY NORMAN HOLDINGS LTD SHS,6173508,-1,-5,0.00%
HCA HEALTHCARE INC,B4MGBG6,15,"7,119",0.01%
HCL TECHNOLOGIES LTD,6294896,61,"2,196",0.00%
HDFC BANK LIMITED,BK1N461,67,"2,255",0.00%
HDFC BANK LTD-ADR ADR REPS 3 SHS,2781648,134,"13,777",0.03%
HEALIUS LTD,BFZYRL1,"7,928","10,861",0.02%
HEALTHPEAK PROPERTIES INC,BJBLRK3,2,70,0.00%
HEIDELBERG MATERIALS AG,5120679,0,55,0.00%
HEILAN HOME CO LTD -A 600398,BS7K3T8,259,428,0.00%
HEINEKEN HOLDING NV -A,B0CCH46,0,24,0.00%
HEINEKEN NV,7792559,43,"4,909",0.01%
HELIA GROUP LTD,BP5HL07,14,64,0.00%
HELIOS TOWERS PLC HTWS,BJVQC70,492,911,0.00%
HELVETIA HOLDING AG-REG,BK6QWF0,0,21,0.00%
HENAN PINGGAO ELECTRIC CO-A,BP3R734,137,581,0.00%
HENAN SHENHUO COAL & POWER-A,BD6QWQ2,9,35,0.00%
HENDERSON LAND DEVELOPMENT,6420538,20,99,0.00%
Henkel AG and CO KGAA,5002465,0,52,0.00%
Henkel AG and Co KGAA,5076705,0,32,0.00%
HENNES & MAURITZ AB-B SHS,5687431,2,40,0.00%
HENRY SCHEIN INC COM USD0.01,2416962,0,27,0.00%
HERMES INTERNATIONAL S ACT,5253973,2,"7,756",0.01%
HERSHEY FOODS CORP COM,2422806,0,80,0.00%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,BYVYWS0,3,91,0.00%
HEXAGON AB-B SHS,BNZFHC1,5,84,0.00%
HEXING ELECTRICAL CO LTD-A 603556,BYW5QY6,29,234,0.00%
HF SINCLAIR CORP,BMZQ9C1,0,11,0.00%
HIKARI TSUSHIN INC,6416322,13,"4,557",0.01%
HIKMA PHARMACEUTICALS PLC,B0LCW08,0,-1,0.00%
HI-LEX CORP,6643476,12,191,0.00%
HILTON WORLDWIDE HLDGS - W/I HLT-W,BYVMW06,1,216,0.00%
HIMALAYA SHIPPING LTD,BMW64P2,28,221,0.00%
HIMALAYA SHIPPING LTD,BN957G1,23,176,0.00%
HINDUSTAN AERONAUTICS LTD,BR56KD4,17,"1,364",0.00%
HISCOX LTD,BVZHXQ9,8,165,0.00%
HISENSE ELECTRIC CO LTD-A,BP3R7F6,25,111,0.00%
HISENSE HOME APPLIANCES G-A,BD5M2M7,70,445,0.00%
HITACHI CONSTRUCTION MACHINE,6429405,0,18,0.00%
HITACHI LIMITED COM,6429104,59,"2,405",0.00%
HIWIN TECHNOLOGIES CORP TWD10,B1YMYT5,271,"4,396",0.01%
HKT TRUST AND HKT SHARE STAPLED UNIT,B4TXDZ3,12,24,0.00%
HL MANDO CO LTD,BQJZQJ8,43,"1,916",0.00%
HMC CAPITAL LTD,BJRBL61,762,"7,514",0.01%
HOKUETSU CORP,6433105,123,"1,927",0.00%
HOLCIM LTD,7110753,1,153,0.00%
HOLMEN AB-B SHARES,BDQQ1Q5,0,22,0.00%
HOLOGIC INC COM USD0.01,2433530,0,50,0.00%
HOME DEPOT INC COM,2434209,2,"1,296",0.00%
HOMECO DAILY NEEDS REIT,BNC0NF4,145,166,0.00%
HON HAI PRECISION INDS ORD,6438564,273,"2,477",0.00%
HONDA MOTOR CO LTD,6435145,9,140,0.00%
HONG KONG & CHINA GAS,6436557,18,24,0.00%
HONG KONG EXCHANGES & CLEAR,6267359,78,"4,811",0.01%
HONG LEONG FINANCIAL GROUP BERHAD,6436450,28,187,0.00%
HONGKONG & SHANGHAI HO,6436386,"1,457","1,884",0.00%
HONGKONG LAND HOLDINGS LTD ORD USD0.10(S,6434915,4,26,0.00%
HORIZON ROBOTICS INC,KYG4602S1057 (ISIN),"2,318","1,735",0.00%
HORMEL FOODS CORP COM USD0.0586,2437264,1,39,0.00%
HOSHIZAKI CORPORATION,B3FF8W8,0,4,0.00%
HOSIDEN CORP HOSIDEN CORP,6439813,26,607,0.00%
HOSKEN CONS INVESTMENTS LTD ZAR0.25,6439738,247,"3,465",0.01%
HOST HOTELS & RESORTS INC COM STK USD0.0,2567503,1,39,0.00%
HOTEL PROPERTY INVESTMENTS HPI,BGSHGN9,62,232,0.00%
HOULIHAN LOKEY INC HLI,BYQ3PM7,10,"2,894",0.01%
HOWDEN JOINERY GROUP PLC,557681,75,"1,210",0.00%
HOWMET AEROSPACE INC,BKLJ8V2,39,"6,945",0.01%
HOYA CORP,6441506,42,"8,612",0.02%
HOYUAN GREEN ENERGY CO LTD-A,BK94808,9,33,0.00%
HP INC,BYX4D52,2,117,0.00%
HSBC HOLDINGS ORD SHS,540528,40,643,0.00%
HUA HONG SEMICONDUCTOR LTD,BRB3857,80,360,0.00%
HUATAI SECURITIES CO LTD-A,BP3R3B4,380,"1,472",0.00%
HUAXIA BANK CO LTD-A,BP3R2T5,546,963,0.00%
HUB24 LTD,BD4T5X1,131,"9,136",0.02%
HUBBELL INC -CL B,BDFG6S3,0,83,0.00%
HUBSPOT INC HUBS,BR4T3B3,3,"3,580",0.01%
HULIC CO LTD,6805317,2,31,0.00%
HUMANA INC,2445063,0,105,0.00%
HUNDSUN ELECTRONIC CO LTD-A,BP3R6B5,9,56,0.00%
HUNT J B TRANS COM,2445416,0,57,0.00%
HUNTINGTON BANCSHARES COM,2445966,3,90,0.00%
HYATT HOTELS CORP - CL A COM USD0.01 CLA,B5B82X4,0,37,0.00%
HYDRO ONE LTD H,BYYXJY9,1,30,0.00%
HYGON INFORMATION TECHNOLO-A,BQZDHW6,3,99,0.00%
HYUNDAI GLOVIS CO LTD,B0V3XR5,8,"1,092",0.00%
IA FINANCIAL CORP INC,BJ2ZH37,0,20,0.00%
IBERDROLA SA,B288C92,12,275,0.00%
ICHIGO INC,6549767,715,"2,761",0.01%
ICICI BANK LTD,BSZ2BY7,404,"9,772",0.02%
ICON PLC,B94G471,47,"15,897",0.03%
IDEMITSU KOSAN CO LTD NPV,B1FF8P7,1,11,0.00%
IDEX CORP USD0.01,2456612,0,45,0.00%
IDEXX LABORATORIES INC COM USD0.10,2459202,4,"2,465",0.00%
IDP EDUCATION LTD IEL,BDB6DD1,"1,295","16,362",0.03%
IGM FINANCIAL INC,2469375,0,1,0.00%
IGO LTD,6439567,"2,655","12,667",0.02%
IHEARTMEDIA INC - CLASS A IHTM,BJVR9Y9,0,0,0.00%
ILLINOIS TOOL WKS INC COM,2457552,1,253,0.00%
ILLUMINA INC COM USD0.01,2613990,0,62,0.00%
ILUKA RESOURCES LIMITED NPV,6957575,800,"4,038",0.01%
IMCD GROUP NV IMCD,BNCBD46,0,23,0.00%
IMDEX LIMITED NPV,6462154,209,485,0.00%
IMPALA PLATINUM HOLDINGS LTD ZAR0.025,B1FFT76,299,"2,243",0.00%
IMPEDIMED LTD NPV,B282M83,"10,862",565,0.00%
IMPERIAL BRANDS PLC,454492,30,"1,550",0.00%
IMPERIAL OIL LTD COM NEW,2454241,5,508,0.00%
INCITEC PIVOT LTD NPV,6673042,"8,078","23,669",0.04%
INCYTE GENOMICS INC COM,2471950,0,55,0.00%
INDITEX,BP9DL90,20,"1,698",0.00%
INDOCEMENT TUNGGAL PRAKARSA TBK,6454861,"2,277","1,691",0.00%
INDOSAT TBK,B00FYK2,"1,663",414,0.00%
INDRAPRASTHA GAS LTD,BD9PXD0,274,"2,148",0.00%
INDUSTRIAL BANK CO LTD -A,BP3R295,72,302,0.00%
INDUSTRIVARDEN AB-A SHS INDUA,B1VSK10,0,2,0.00%
INDUSTRIVARDEN AB-C SHS SER'C'NPV,B1VSK54,1,45,0.00%
INDUTRADE AB NPV,B0LDBX7,0,17,0.00%
INFINEON TECHNOLOGIES AG,5889505,93,"4,877",0.01%
INFOMEDIA LIMITED INFOMEDIA LIMITED,6268095,93,144,0.00%
INFORMA GROUP PLC INFORMA GROUP PLC,BMJ6DW5,5,73,0.00%
INFOSYS LTD,2398822,52,"1,846",0.00%
INFRASTRUTTURE WIRELESS ITAL INW,BZ0P4R4,1,12,0.00%
INFRATIL LTD,6459286,2,18,0.00%
INFRATIL LTD IFT,B6923R6,249,"2,883",0.01%
ING GROEP NV-CVA,BZ57390,7,173,0.00%
INGENIA COMMUNITIES GROUP,B84GSC7,20,89,0.00%
INGERSOLL-RAND INC,BL5GZ82,1,121,0.00%
INGHAMS GROUP LTD ING,BZCNHW2,157,500,0.00%
INNER MONGOLIA MENGDIAN HU-A,BP3R723,179,171,0.00%
INNER MONGOLIA YILI INDUS-A,BP3R2V7,49,325,0.00%
INPEX CORP,B10RB15,2,44,0.00%
INSIGNIA FINANCIAL LTD,6714394,"8,262","29,332",0.05%
INSPUR ELECTRONIC INFORMAT-A,BD5CLB9,7,84,0.00%
INSULET CORP COM STK USD0.001,B1XGNW4,0,64,0.00%
INSURANCE AUSTRALIA GROUP SHS,6271026,"2,786","23,565",0.04%
INTACT FINANCIAL CORP,B04YJV1,0,110,0.00%
INTEL CORP,2463247,9,297,0.00%
INTELLIGENT MONITORING GROUP,BMF19D7,"1,079",604,0.00%
INTERACTIVE BROKERS GRO-CL A COM STK CLA,B1WT4X2,16,"4,441",0.01%
INTERCONTINENTAL EXCHANGE INC,BFSSDS9,1,296,0.00%
INTERCONTINENTAL HOTELS GROU,BHJYC05,1,111,0.00%
INTERFOR CORPORATION,BMJ71W4,4,66,0.00%
INTERGAL DIAGNOSTICS LTD,BYV2ZK7,"1,009","2,937",0.01%
INTERNATIONAL BUSINESS COM,2005973,2,695,0.00%
INTERNATIONAL FLAVORS& COM,2464165,0,62,0.00%
INTERNATIONAL SEAWAYS INC-WI,BYX60M4,44,"2,575",0.00%
INTERPUBLIC GROUP COS COM,2466321,1,51,0.00%
INTERTEK GROUP PLC ORD GBP0.01,3163836,0,37,0.00%
INTESA SANPAOLO,4076836,30,197,0.00%
INTL CONSOLIDATED AIRLINE-DI,B5M6XQ7,138,845,0.00%
INTL PAPER CO COM,2465254,1,87,0.00%
INTUIT INC,2459020,16,"16,068",0.03%
INTUITIVE SURGICAL INC COM USD0.001,2871301,22,"18,278",0.03%
INVESTMENT AB LATOUR-B SHS,BZ404X1,0,-19,0.00%
INVESTOR AB-B SHS,BMV7PQ4,33,"1,423",0.00%
INVITATION HOMES INC,BD81GW9,1,60,0.00%
IPD GROUP LTD,BP9SCC5,203,785,0.00%
IPERIONX LTD,BMCB2H5,337,"1,854",0.00%
IPH LTD IPH,BS7K5S1,162,816,0.00%
IPSEN EUR1,B0R7JF1,0,6,0.00%
IQVIA HOLDINGS INC,BDR73G1,19,"6,156",0.01%
IRESS MARKET TECHNOLOGY LTD NPV,6297497,760,"7,078",0.01%
IRON MTN INC PA COM,BVFTF03,1,114,0.00%
ISRAEL DISCOUNT BANK-A ILS0.10 SER'A',6451271,0,-1,0.00%
ISUZU MOTORS LTD COM,6467104,1,24,0.00%
ITAU UNIBANCO HLDNG-PREF ADR,2849739,350,"2,803",0.01%
ITC LTD,B0JGGP5,140,"1,279",0.00%
ITOCHU CORP ORD,6467803,14,"1,142",0.00%
ITT INC,BZBY209,18,"4,221",0.01%
IVANHOE MINES LTD-CL A IVN,BD73C40,19,363,0.00%
J P MORGAN CHASE & CO COM,2190385,16,"6,073",0.01%
JABIL INC,2471789,0,64,0.00%
JACK HENRY & ASSOCIATES INC COM USD0.01,2469193,13,"3,753",0.01%
JAFRON BIOMEDICAL CO LTD-A,BFY8H03,2,11,0.00%
JAMES HARDIE INDUSTRIES PLC,B60QWJ2,718,"35,955",0.07%
JAPAN AIRLINES COMPANY LTD NPV,B8BRV46,1,23,0.00%
JAPAN ELEVATOR SERVICE HOLDI 6544,BF0QWT5,6,177,0.00%
JAPAN EXCHANGE GROUP INC,6743882,2,28,0.00%
JAPAN PETROLEUM EXPLORATION SHS,6711696,157,"1,828",0.00%
JAPAN POST BANK CO LTD 7182,BYT8165,3,39,0.00%
JAPAN POST HOLDINGS CO LTD 6178,BYT8143,5,78,0.00%
JAPAN POST INSURANCE CO LTD 7181,BYT8154,0,4,0.00%
JAPAN REAL ESTATE INVESTMENT,6397580,0,29,0.00%
JAPAN TOBACCO INC,6474535,2,92,0.00%
JARDINE MATHESON HLDGS ORD,6472119,30,"1,974",0.00%
JB HI-FI LTD NPV,6702623,76,"7,043",0.01%
JD SPORTS FASHION,BM8Q5M0,3,5,0.00%
JD.COM INC - CL A,BKPQZT6,161,"4,546",0.01%
JD.COM INC-ADR,BMM27D9,18,994,0.00%
JDE PEET'S BV JDEP,BMC4ZZ3,1,22,0.00%
JEFFERIES FINANCIAL GROUP IN,BG0Q4Z2,41,"5,202",0.01%
JERONIMO MARTINS,B1Y1SQ7,1,39,0.00%
JFE HOLDINGS INC NPV,6543792,1,25,0.00%
JIANGSU CHANGJIANG ELECTRONI,BP3RCQ2,48,432,0.00%
JIANGSU HENGRUI MEDICINE C-A,BP3R369,15,153,0.00%
JIANGSU PHOENIX PUBLISH-A,BP3R5F2,70,178,0.00%
JOBY AVIATION INC,BMCRLL0,208,"2,732",0.01%
JOHN KEELLS HOLDINGS PLC NPV,6475538,"30,179","3,760",0.01%
JOHNS LYNG GROUP LTD,BYPHBX3,0,-2,0.00%
JOHNSON & JOHNSON COM,2475833,46,"10,809",0.02%
JOHNSON CONTROLS INTERNATION,BY7QL61,1,167,0.00%
JOHNSON ELECTRIC HLDGS,BP4JH17,301,682,0.00%
JOINCARE PHARMACEUTICAL GR-A,BP3RBV0,78,193,0.00%
JUDO CAPITAL HOLDINGS LTD,BMW7F41,"1,428","2,599",0.00%
JULIUS BAER GROUP LTD,B4R2R50,1,55,0.00%
JUMBO INTERACTIVE LTD JUMBO INTERACTIVE,6524474,21,289,0.00%
JUNIPER NETWORKS INC COM,2431846,1,39,0.00%
KAJIMA CORP,6481320,1,31,0.00%
KANSAI ELECTRIC POWER,6483489,2,29,0.00%
KANSAI PAINT CO LTD,6483746,198,"4,598",0.01%
KAO CORP,6483809,1,67,0.00%
KAR AUCTION SERVICES INC COM USD0.01,B4Y1MH7,218,"6,991",0.01%
KAROON ENERGY LTD,B00SV00,"1,213","1,686",0.00%
KASIKORNBANK PCL (ALIEN MKT),6888794,393,"2,896",0.01%
KAWASAKI KISEN KAISHA LTD NPV,6484686,1,34,0.00%
KBC CORP LTD-A,IE000S9YS762 (ISIN),13,60,0.00%
KDDI CORP,6248990,9,478,0.00%
KE HOLDINGS INC,BMBX7M2,47,"1,385",0.00%
KELLANOVA,2486813,1,78,0.00%
KELSIAN GROUP LTD,BPBKR80,611,"2,236",0.00%
KENVUE INC,BQ84ZQ6,270,"9,309",0.02%
KEPPEL LTD,B1VQ5C0,4,28,0.00%
KERING,5505072,0,69,0.00%
KERRY GROUP PLC-A 'A'ORD EUR0.125,490656,0,29,0.00%
KERRY GROUP PLC-A ORD,4519579,16,"2,476",0.00%
KESKO OYJ-B SHS NPV SER'B',4490005,1,45,0.00%
KEURIG DR PEPPER INC,BD3W133,2,124,0.00%
KEYCORP NEW COM,2490911,1,38,0.00%
KEYENCE CORPORATION,6490995,6,"4,296",0.01%
KEYERA CORP COM NPV,B3SGMV5,1,30,0.00%
KEYSIGHT TECHNOLOGIES IN-W/I KEYS-W,BQZJ0Q9,17,"4,539",0.01%
KGL RESOURCES LTD,B066SP2,"1,696",161,0.00%
KIKKOMAN CORPORATION KIKKOMAN CORPORATIO,6490809,2,28,0.00%
KIMBERLY CLARK CORP COM,2491839,1,146,0.00%
KIMCO REALTY CORP COM STK USD0.01,2491594,1,52,0.00%
KINDER MORGAN INC COM USD0.01,B3NQ4P8,4,186,0.00%
KINGFA SCI.& TECH CO LTD-A,BP3R8H5,22,42,0.00%
KINGFISHER PLC,3319521,544,"2,735",0.01%
KINGNET NETWORK CO LTD-A 002517,BD5CC27,67,201,0.00%
KINGSPAN GROUP PLC ORD EUR0.13,492793,0,39,0.00%
KINGSPAN GROUP PLC ORD EUR0.13,4491235,24,"2,850",0.01%
KINROSS GOLD CORP,B03Z841,2,34,0.00%
KIRIN HOLDINGS COMPANY LIMITED,6493745,1,28,0.00%
KKR & CO INC,BG1FRR1,1,306,0.00%
KLA-TENCOR CORP COM,2480138,0,298,0.00%
KLEPIERRE EUR1.40,7582556,1,39,0.00%
KMD BRANDS LTD,B59HM77,"2,854","1,113",0.00%
KNIGHT-SWIFT TRANSPORTATION,BF0LKD0,0,36,0.00%
KNORR-BREMSE AG,BD2P9X9,0,6,0.00%
KOBE BUSSAN CO LTD 3038,B14RJB7,0,11,0.00%
KOC HOLDING AS TRY1,B03MVJ8,107,875,0.00%
KOGAN.COM LTD,BYYY339,282,"1,751",0.00%
KOITO MANUFACTURING CO LTD NPV,6496324,23,480,0.00%
KOKUSAI ELECTRIC CORP,BNGHNG2,0,9,0.00%
KOMORI CORPORATION,6496658,104,"1,288",0.00%
KONAMI GROUP CORP,6496681,0,51,0.00%
KONE CORP NEW NPV ORD 'B',B09M9D2,1,54,0.00%
KONINKLIJKE AHOLD DELHAIZE NV,BD0Q398,2,111,0.00%
KONINKLIJKE KPN NV,5956078,10,60,0.00%
KONINKLIJKE PHILIPS NV,5986622,2,89,0.00%
KOREA ELECTRIC POWER CORP,6495730,52,"1,137",0.00%
KOREA INVESTMENT HOLDINGS CO KRW5000,6654586,21,"1,664",0.00%
KOTAK MAHINDRA BANK LTD,6135661,166,"5,582",0.01%
KPIT TECHNOLOGY LTD,BFMX0X4,59,"1,630",0.00%
KR1 PLC,BYYPQX3,236,306,0.00%
KRAFT HEINZ CO/THE,BYRY499,2,93,0.00%
KRAFTON INC,BMBP900,3,"1,091",0.00%
KREDIETBANK NV PARTS S ORD,4497749,1,136,0.00%
KROGER CO COM,2497406,17,"1,678",0.00%
KT CORP,6505316,17,826,0.00%
KT CORP SPONSORED ADR,2419875,24,598,0.00%
KUBOTA CORP,6497509,3,59,0.00%
