Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
High Growth,Cash,Royal Bank of Canada/London,Canada Dollar,,3989924.0,0.01,,,AustralianSuper,0.0096567872512642,,,,
High Growth,Cash,Royal Bank of Canada/Sydney,Australia Dollar,,55488683.0,0.14,,,AustralianSuper,0.1342989005765126,,,,
High Growth,Cash,Societe Generale SA,Australia Dollar,,5555743.0,0.01,,,AustralianSuper,0.0134465288495972,,,,
High Growth,Cash,Standard Chartered Bank,Australia Dollar,,1537933.0,0.0,,,AustralianSuper,0.0037222492928934,,,,
High Growth,Cash,State Street Bank and Trust Co,Australia Dollar,,7705285.0,-0.02,,,AustralianSuper,0.0186490514494404,,,,
High Growth,Cash,Sumitomo Mitsui Banking Corp,United States Dollar,,2628709.0,0.01,,,AustralianSuper,0.0063622473907982,,,,
High Growth,Cash,Sumitomo Mitsui Banking Corp/Sydney,Australia Dollar,,2131976.0,0.01,,,AustralianSuper,0.0051600077236562,,,,
High Growth,Cash,UBS AG,Australia Dollar,,1313127.0,0.0,,,AustralianSuper,0.0031781527850883,,,,
High Growth,Cash,Westpac Banking Corp,Australia Dollar,,34144488.0,0.09,,,AustralianSuper,0.0826396834674906,,,,
High Growth,Fixed Income,ACM Auto Trust 2024-1,,,252793.0,0.0,,,AustralianSuper,0.0006118332628914,,,,
High Growth,Fixed Income,Asimi Funding 2024-1 PLC,,,73580.0,0.0,,,AustralianSuper,0.000178085198101,,,,
High Growth,Fixed Income,Bridge 2024-SFR1 Trust,,,71773.0,0.0,,,AustralianSuper,0.0001737117276882,,,,
High Growth,Fixed Income,Firstmac Asset Funding Trust No. 1 Series Auto No. 2,,,51555.0,0.0,,,AustralianSuper,0.0001247782330537,,,,
High Growth,Fixed Income,Flexicommercial Abs Trust 2023-1,,,76874.0,0.0,,,AustralianSuper,0.0001860576449961,,,,
High Growth,Fixed Income,FP Turbo Series 2023-1 Trust,,,205709.0,0.0,,,AustralianSuper,0.0004978761622202,,,,
High Growth,Fixed Income,Handy ABS 2024-1 Trust,,,50329.0,0.0,,,AustralianSuper,0.0001218109531832,,,,
High Growth,Fixed Income,Horizon Aircraft Finance IV Ltd,,,200307.0,0.0,,,AustralianSuper,0.0004848017365591,,,,
High Growth,Fixed Income,Judo Capital Markets Trust 2023-1,,,407292.0,0.0,,,AustralianSuper,0.0009857661933264,,,,
High Growth,Fixed Income,Metro Finance 2023-2 Trust,,,306184.0,0.0,,,AustralianSuper,0.0007410551548703,,,,
High Growth,Fixed Income,Navigator 2024-1 Aviation Ltd,,,132937.0,0.0,,,AustralianSuper,0.0003217465612932,,,,
High Growth,Fixed Income,Pagaya AI Technology in Housing Trust 2023-1,,,12447.0,0.0,,,AustralianSuper,3.0125393595588712e-05,,,,
High Growth,Fixed Income,Panorama Auto Trust 2023-3,,,207025.0,0.0,,,AustralianSuper,0.0005010612685086,,,,
High Growth,Fixed Income,Panorama Auto Trust 2024-1,,,192820.0,0.0,,,AustralianSuper,0.0004666809988833,,,,
High Growth,Fixed Income,Perpetual Corporate Trust Ltd,,,139130.0,0.0,,,AustralianSuper,0.0003367354391382,,,,
High Growth,Fixed Income,Prodigy Finance CM2021-1 DAC,,,15891.0,0.0,,,AustralianSuper,3.8460884520567224e-05,,,,
High Growth,Fixed Income,ReadyCap Lending Small Business Loan Trust 2023-3,,,107173.0,0.0,,,AustralianSuper,0.000259390118729,,,,
High Growth,Fixed Income,SLM Student Loan Trust 2004-10,,,260721.0,0.0,,,AustralianSuper,0.0006310213500149,,,,
High Growth,Fixed Income,Small Business Origination Loan Trust 2024-1 DAC,,,94909.0,0.0,,,AustralianSuper,0.0002297076388498,,,,
High Growth,Fixed Income,STAR 2022-SFR3 Trust,,,111214.0,0.0,,,AustralianSuper,0.0002691705248927,,,,
High Growth,Fixed Income,STAR 2024-SFR4 Trust,,,294368.0,0.0,,,AustralianSuper,0.0007124569664936,,,,
High Growth,Fixed Income,Taurus 2023-1 Trust,,,220777.0,0.0,,,AustralianSuper,0.0005343451451637,,,,
High Growth,Fixed Income,Taurus 2024-1PP Trust,,,303944.0,0.0,,,AustralianSuper,0.0007356336973582,,,,
High Growth,Fixed Income,Towd Point Mortgage Trust 2019-MH1,,,87549.0,0.0,,,AustralianSuper,0.0002118942784526,,,,
High Growth,Fixed Income,Trustee For Angle Asset Finance - Radian Trust 2023-3/The,,,102194.0,0.0,,,AustralianSuper,0.000247339477232,,,,
High Growth,Fixed Income,United Airlines 2020-1 Class A Pass Through Trust,,,78430.0,0.0,,,AustralianSuper,0.0001898236217323,,,,
High Growth,Fixed Income,Vantage Data Centers Jersey Borrower Spv Ltd,,,191401.0,0.0,,,AustralianSuper,0.0004632466023611,,,,
High Growth,Fixed Income,VINE 2023-SFR1 Trust,,,308829.0,0.0,,,AustralianSuper,0.0007474568312631,,,,
High Growth,Fixed Income,Wisr Freedom Trust Series 2023-1,,,473468.0,0.0,,,AustralianSuper,0.0011459315381149,,,,
High Growth,Fixed Income,Zip Master Trust Series 2024-2,,,129702.0,0.0,,,AustralianSuper,0.0003139169117164,,,,
High Growth,Fixed Income,ABB Finance BV,,,19978.0,0.0,,,AustralianSuper,4.835262418676559e-05,,,,
High Growth,Fixed Income,Abbott Ireland Financing DAC,,,40512.0,0.0,,,AustralianSuper,9.805093157744756e-05,,,,
High Growth,Fixed Income,Abbott Laboratories,,,78291.0,0.0,,,AustralianSuper,0.0001894872009313,,,,
High Growth,Fixed Income,AbbVie Inc,,,292608.0,0.0,,,AustralianSuper,0.0007081972498769,,,,
High Growth,Fixed Income,Abertis Infraestructuras SA,,,38358.0,0.0,,,AustralianSuper,9.283761930903768e-05,,,,
High Growth,Fixed Income,ABN AMRO Bank NV,,,122702.0,0.0,,,AustralianSuper,0.0002969748569909,,,,
High Growth,Fixed Income,Accor Sa,,,16825.0,0.0,,,AustralianSuper,4.072143867966419e-05,,,,
High Growth,Fixed Income,Achmea BV,,,22635.0,0.0,,,AustralianSuper,5.4783344101884025e-05,,,,
High Growth,Fixed Income,Adecco International Financial Services BV,,,14332.0,0.0,,,AustralianSuper,3.468764690383044e-05,,,,
High Growth,Fixed Income,Adidas Ag,,,17526.0,0.0,,,AustralianSuper,4.241806444575302e-05,,,,
High Growth,Fixed Income,AEP Texas Inc,,,55363.0,0.0,,,AustralianSuper,0.0001339947108245,,,,
High Growth,Fixed Income,AEP Transmission Co LLC,,,53953.0,0.0,,,AustralianSuper,0.000130582096944,,,,
High Growth,Fixed Income,AerCap Ireland Capital DAC / AerCap Global Aviation Trust,,,209271.0,0.0,,,AustralianSuper,0.0005064972477819,,,,
High Growth,Fixed Income,Aib Group Plc,,,17295.0,0.0,,,AustralianSuper,4.185897663980933e-05,,,,
High Growth,Fixed Income,Air Lease Corp,,,118957.0,0.0,,,AustralianSuper,0.0002879108577127,,,,
High Growth,Fixed Income,Air Liquide Finance SA,,,23798.0,0.0,,,AustralianSuper,5.759814547986023e-05,,,,
High Growth,Fixed Income,Air Products And Chemicals Inc,,,43511.0,0.0,,,AustralianSuper,0.0001053093918805,,,,
High Growth,Fixed Income,Airbus Se,,,38695.0,0.0,,,AustralianSuper,9.365325822939709e-05,,,,
High Growth,Fixed Income,Akzo Nobel NV,,,16134.0,0.0,,,AustralianSuper,3.904901584889759e-05,,,,
High Growth,Fixed Income,Alectra Inc,,,3939.0,0.0,,,AustralianSuper,9.533536223429256e-06,,,,
High Growth,Fixed Income,Alexandria Real Estate Equities Inc,,,48403.0,0.0,,,AustralianSuper,0.0001171494678402,,,,
High Growth,Fixed Income,Alimentation Couche-Tard Inc,,,23945.0,0.0,,,AustralianSuper,5.795392862909711e-05,,,,
High Growth,Fixed Income,Allianz Finance II BV,,,27436.0,0.0,,,AustralianSuper,6.640317335009015e-05,,,,
High Growth,Fixed Income,Allianz Se,,,15190.0,0.0,,,AustralianSuper,3.67642587544784e-05,,,,
High Growth,Fixed Income,Ally Financial Inc,,,26183.0,0.0,,,AustralianSuper,6.337054555421381e-05,,,,
High Growth,Fixed Income,Alstom SA,,,26914.0,0.0,,,AustralianSuper,6.513978012626936e-05,,,,
High Growth,Fixed Income,Altagas Ltd,,,22021.0,0.0,,,AustralianSuper,5.329728387309867e-05,,,,
High Growth,Fixed Income,AltaLink LP,,,14418.0,0.0,,,AustralianSuper,3.489579214760168e-05,,,,
High Growth,Fixed Income,Amadeus It Group Sa,,,17620.0,0.0,,,AustralianSuper,4.264557203778205e-05,,,,
High Growth,Fixed Income,AMAL Trustees Pty Ltd,,,192435.0,0.0,,,AustralianSuper,0.0004657491858734,,,,
High Growth,Fixed Income,Amazon.Com Inc,,,252365.0,0.0,,,AustralianSuper,0.0006107973772596,,,,
High Growth,Fixed Income,Amcor Flexibles North America Inc,,,71893.0,0.0,,,AustralianSuper,0.0001740021629121,,,,
High Growth,Fixed Income,American Express Co,,,227375.0,0.0,,,AustralianSuper,0.0005503142418893,,,,
High Growth,Fixed Income,American Homes 4 Rent LP,,,65348.0,0.0,,,AustralianSuper,0.0001581613417437,,,,
High Growth,Fixed Income,American Honda Finance Corp,,,169204.0,0.0,,,AustralianSuper,0.0004095233468263,,,,
High Growth,Fixed Income,American Medical Systems Europe BV,,,27842.0,0.0,,,AustralianSuper,6.738581252417296e-05,,,,
High Growth,Fixed Income,American Tower Corp,,,196074.0,0.0,,,AustralianSuper,0.0004745566340372,,,,
High Growth,Fixed Income,Amgen Inc,,,360237.0,0.0,,,AustralianSuper,0.0008718792811676,,,,
High Growth,Fixed Income,AMP Bank Ltd,,,1124704.0,0.0,,,AustralianSuper,0.0027221138168661,,,,
High Growth,Fixed Income,Ampol Ltd,,,1544148.0,0.0,,,AustralianSuper,0.0037372914171962,,,,
High Growth,Fixed Income,Amprion GmbH,,,42182.0,0.0,,,AustralianSuper,0.0001020928217762,,,,
High Growth,Fixed Income,Amvest RCF Custodian BV,,,29194.0,0.0,,,AustralianSuper,7.065804937973945e-05,,,,
High Growth,Fixed Income,Anglian Water Osprey Financing PLC,,,34260.0,0.0,,,AustralianSuper,8.291925641398485e-05,,,,
High Growth,Fixed Income,Anglian Water Services Financing PLC,,,21090.0,0.0,,,AustralianSuper,5.104399059459838e-05,,,,
High Growth,Fixed Income,Anglo American Capital PLC,,,80057.0,0.0,,,AustralianSuper,0.0001937614393092,,,,
High Growth,Fixed Income,Anheuser-Busch Cos LLC / Anheuser-Busch InBev Worldwide Inc,,,232925.0,0.0,,,AustralianSuper,0.0005637468709932,,,,
High Growth,Fixed Income,Anheuser-Busch InBev SA/NV,,,117420.0,0.0,,,AustralianSuper,0.0002841908665537,,,,
High Growth,Fixed Income,Annington Funding PLC,,,11932.0,0.0,,,AustralianSuper,2.8878942426493497e-05,,,,
High Growth,Fixed Income,Antero Resources Corp,,,54708.0,0.0,,,AustralianSuper,0.0001324094185608,,,,
High Growth,Fixed Income,Aon North America Inc,,,113414.0,0.0,,,AustralianSuper,0.0002744951706636,,,,
High Growth,Fixed Income,AP Moller - Maersk A/S,,,17319.0,0.0,,,AustralianSuper,4.1917063684582705e-05,,,,
High Growth,Fixed Income,Apollo Debt Solutions BDC,,,33424.0,0.0,,,AustralianSuper,8.089589102104581e-05,,,,
High Growth,Fixed Income,APPF Commercial Finance Pty Ltd,,,370406.0,0.0,,,AustralianSuper,0.0008964912460968,,,,
High Growth,Fixed Income,Apple Inc,,,390791.0,0.0,,,AustralianSuper,0.0009458289297512,,,,
High Growth,Fixed Income,APRR SA,,,33901.0,0.0,,,AustralianSuper,8.205037103591652e-05,,,,
High Growth,Fixed Income,ArcelorMittal SA,,,89472.0,0.0,,,AustralianSuper,0.0002165485029151,,,,
High Growth,Fixed Income,Ares Capital Corp,,,144296.0,0.0,,,AustralianSuper,0.0003492386755257,,,,
High Growth,Fixed Income,Ares Strategic Income Fund,,,13977.0,0.0,,,AustralianSuper,3.3828442699891016e-05,,,,
High Growth,Fixed Income,Arkema Sa,,,14145.0,0.0,,,AustralianSuper,3.4235052013304606e-05,,,,
High Growth,Fixed Income,Aroundtown Sa,,,16151.0,0.0,,,AustralianSuper,3.909016083894539e-05,,,,
High Growth,Fixed Income,Arthur J Gallagher & Co,,,78843.0,0.0,,,AustralianSuper,0.0001908232029611,,,,
High Growth,Fixed Income,Asahi Group Holdings Ltd,,,13667.0,0.0,,,AustralianSuper,3.3078151704901656e-05,,,,
