Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,High Growth,Cash Total,,,,273310724.7,0.07394694,,,
31/12/2024,High Growth,Fixed Income,Externally Managed,Challenger Limited,,4949080.577,0.00133902,,,
31/12/2024,High Growth,Fixed Income,Externally Managed,Generate Capital,,80186.13446,0.0000217,,,
31/12/2024,High Growth,Fixed Income,Externally Managed,Oaktree Capital Management LP,,57988160.27,0.01568927,,,
31/12/2024,High Growth,Fixed Income,Externally Managed,Schroders PLC,,1661375.699,0.0004495,,,
31/12/2024,High Growth,Fixed Income Total,,,,64678802.68,0.01749949,,,
31/12/2024,High Growth,Listed Equity,,360 Security Technology Inc,1560.021854,3572.702009,0.00000097,,,CNE100002RZ2
31/12/2024,High Growth,Listed Equity,,37 Interactive Entertainment Network Technology Group Co Ltd,497.770131,1722.627447,0.00000047,,,CNE1000010N2
31/12/2024,High Growth,Listed Equity,,3i Group PLC,3459.593072,249407.6253,0.00006748,,,GB00B1YW4409
31/12/2024,High Growth,Listed Equity,,3M Co,7338.634993,1530072.505,0.00041398,,,US88579Y1010
31/12/2024,High Growth,Listed Equity,,a2 Milk Co Ltd/The,226969.4,1311883.132,0.00035494,,,NZATME0002S8
31/12/2024,High Growth,Listed Equity,,AAC Technologies Holdings Inc,2694.116688,21006.0894,0.00000568,,,KYG2953R1149
31/12/2024,High Growth,Listed Equity,,ABB India Ltd,198.748837,25916.98636,0.00000701,,,INE117A01022
31/12/2024,High Growth,Listed Equity,,ABB Ltd,17543.1845,1534194.248,0.00041509,,,CH0012221716
31/12/2024,High Growth,Listed Equity,,Abbott Laboratories,11309.91584,2066162.611,0.00055902,,,US0028241000
31/12/2024,High Growth,Listed Equity,,AbbVie Inc,17159.27116,4924820.295,0.00133246,,,US00287Y1091
31/12/2024,High Growth,Listed Equity,,ABIOMED Inc,76.520632,4325.643605,0.00000117,,,US003CVR0169
31/12/2024,High Growth,Listed Equity,,ABN AMRO Bank NV,27223.533,677943.0266,0.00018342,,,NL0011540547
31/12/2024,High Growth,Listed Equity,,Absa Group Ltd,3194.863176,51887.90535,0.00001404,,,ZAE000255915
31/12/2024,High Growth,Listed Equity,,Abu Dhabi Commercial Bank PJSC,11049.21399,50626.29874,0.0000137,,,AEA000201011
31/12/2024,High Growth,Listed Equity,,Abu Dhabi Islamic Bank PJSC,5450.377667,33121.63067,0.00000896,,,AEA000801018
31/12/2024,High Growth,Listed Equity,,Abu Dhabi National Oil Co for Distribution PJSC,11723.82081,18146.33431,0.00000491,,,AEA006101017
31/12/2024,High Growth,Listed Equity,,Accent Group Ltd,123296.03,288512.7101,0.00007806,,,AU000000AX19
31/12/2024,High Growth,Listed Equity,,Accenture PLC,6151.012093,3494895.493,0.00094558,,,IE00B4BNMY34
31/12/2024,High Growth,Listed Equity,,Acciona SA,338.36383,61513.08269,0.00001664,,,ES0125220311
31/12/2024,High Growth,Listed Equity,,Accor SA,443.008503,34852.45609,0.00000943,,,FR0000120404
31/12/2024,High Growth,Listed Equity,,Accton Technology Corp,1898.710809,72305.90242,0.00001956,,,TW0002345006
31/12/2024,High Growth,Listed Equity,,Acer Inc,10879.09977,21331.01218,0.00000577,,,TW0002353000
31/12/2024,High Growth,Listed Equity,,ACS Actividades de Construccion y Servicios SA,1280.420757,103731.5471,0.00002807,,,ES0167050915
31/12/2024,High Growth,Listed Equity,,Acuity Brands Inc,959.269062,452606.4298,0.00012246,,,US00508Y1029
31/12/2024,High Growth,Listed Equity,,AddTech AB,3743.060746,164798.4213,0.00004459,,,SE0014781795
31/12/2024,High Growth,Listed Equity,,Adecco Group AG,758.996067,30245.94707,0.00000818,,,CH0012138605
31/12/2024,High Growth,Listed Equity,,adidas AG,1114.798688,441501.4768,0.00011945,,,DE000A1EWWW0
31/12/2024,High Growth,Listed Equity,,Admiral Group PLC,3962.003835,211896.2913,0.00005733,,,GB00B02J6398
