Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Indexed Balanced Growth,Listed Equity,,Akamai Technologies Inc,288.953087,44639.20067,0.00009644,,,US00971T1016
31/12/2024,Indexed Balanced Growth,Listed Equity,,Aker BP ASA,243.367612,7672.829384,0.00001658,,,NO0010345853
31/12/2024,Indexed Balanced Growth,Listed Equity,,Akzo Nobel NV,341.155807,33070.07052,0.00007144,,,NL0013267909
31/12/2024,Indexed Balanced Growth,Listed Equity,,Albemarle Corp,186.753394,25964.19944,0.00005609,,,US0126531013
31/12/2024,Indexed Balanced Growth,Listed Equity,,Albertsons Cos Inc,1093.316132,34680.9803,0.00007492,,,US0130911037
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alcoa Corp,3885.214602,230470.9302,0.0004979,,,AU0000339426
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alcon AG,752.160325,103084.3225,0.0002227,,,CH0432492467
31/12/2024,Indexed Balanced Growth,Listed Equity,,Aldar Properties PJSC,12582.32614,42491.22048,0.0000918,,,AEA002001013
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alfa Laval AB,485.999975,32863.44333,0.000071,,,SE0000695876
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alibaba Group Holding Ltd,26836.60983,459782.4677,0.0009933,,,KYG017191142
31/12/2024,Indexed Balanced Growth,Listed Equity,,Align Technology Inc,103.670191,34912.8192,0.00007542,,,US0162551016
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alimentation Couche-Tard Inc,1218.308561,109070.9746,0.00023563,,,CA01626P1484
31/12/2024,Indexed Balanced Growth,Listed Equity,,Allegion plc,147.785166,31192.05927,0.00006739,,,IE00BFRT3W74
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alliant Energy Corp,451.443245,43120.97645,0.00009316,,,US0188021085
31/12/2024,Indexed Balanced Growth,Listed Equity,,Allianz SE,595.552163,294726.2297,0.00063672,,,DE0008404005
31/12/2024,Indexed Balanced Growth,Listed Equity,,Allstate Corp/The,426.444759,132785.7294,0.00028687,,,US0200021014
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ally Financial Inc,526.438702,30617.87345,0.00006615,,,US02005N1000
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alnylam Pharmaceuticals Inc,208.810882,79359.26684,0.00017145,,,US02043Q1076
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alphabet Inc,7721.591136,2375029.986,0.00513094,,,US02079K1079
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alphabet Inc,9280.320255,2837381.29,0.00612979,,,US02079K3059
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alpha HPA Ltd,73463.72245,65382.71298,0.00014125,,,AU0000033060
31/12/2024,Indexed Balanced Growth,Listed Equity,,ALS Ltd,28709.09408,432933.1387,0.0009353,,,AU000000ALQ6
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alstom SA,283.80634,10233.51252,0.00002211,,,FR0010220475
31/12/2024,Indexed Balanced Growth,Listed Equity,,AltaGas Ltd,198.517388,7463.944977,0.00001612,,,CA0213611001
31/12/2024,Indexed Balanced Growth,Listed Equity,,Alteogen Inc,62.496215,21221.02349,0.00004585,,,KR7196170005
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amadeus IT Group SA,671.282871,76567.40652,0.00016541,,,ES0109067019
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amazon.com Inc,14757.19441,5229073.539,0.01129674,,,US0231351067
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ambev SA,12278.66806,37686.51884,0.00008142,,,BRABEVACNOR1
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amcor PLC,3111.576242,47290.53273,0.00010217,,,JE00BJ1F3079
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amcor PLC,36643.91984,548559.48,0.00118509,,,AU000000AMC4
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ameren Corp,422.768511,60866.65162,0.00013149,,,US0236081024
