Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Fixed Income,Internally,APOLLO TRUST,100154.0,0.0,-,-,,Rest,High Growth,0.001993032560429,,,,
Fixed Income,Internally,ING BANK AUSTRALIA LTD.,89020.0,0.0,-,-,,Rest,High Growth,0.0017714695222297,,,,
Fixed Income,Internally,IDOL TRUST,74310.0,0.0,-,-,,Rest,High Growth,0.0014787452280037,,,,
Fixed Income,Internally,PUMA SERIES 2023-1,60790.0,0.0,-,-,,Rest,High Growth,0.001209701553093,,,,
Fixed Income,Internally,RABOBANK UA/AU,39213.0,0.0,-,-,,Rest,High Growth,0.0007803261556413,,,,
Fixed Income,Internally,LION TRUST,31002.0,0.0,-,-,,Rest,High Growth,0.0006169298823653,,,,
Fixed Income,Internally,PROGRESS TRUST,24639.0,0.0,-,-,,Rest,High Growth,0.0004903082179085,,,,
Fixed Income,Internally,MEDALLION TRUST,22993.0,0.0,-,-,,Rest,High Growth,0.0004575533444689,,,,
Fixed Income,Internally,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,22554.0,0.0,-,-,,Rest,High Growth,0.0004488173849064,,,,
Fixed Income,Internally,KINGFISHER TRUST,16183.0,0.0,-,-,,Rest,High Growth,0.0003220365230088,,,,
Fixed Income,Internally,NATIONAL RMBS TRUST,15858.0,0.0,-,-,,Rest,High Growth,0.0003155691269772,,,,
Fixed Income,Internally,REDS TRUST,13948.0,0.0,-,-,,Rest,High Growth,0.0002775607379921,,,,
Fixed Income,Internally,TORRENS TRUST,11857.0,0.0,-,-,,Rest,High Growth,0.0002359505069094,,,,
Fixed Income,Internally,CNH INDUSTRIAL CAPITAL AUSTRALIA RECEIVABLES TRUST,2434.0,0.0,-,-,,Rest,High Growth,4.843582135595584e-05,,,,
Fixed Income,Externally,BARINGS LLC,59509764.0,1.18,-,-,,Rest,High Growth,1.1842252662444914,,,,
Fixed Income,Externally,"AP KENT MANAGEMENT, LLC",37155072.0,0.74,-,-,,Rest,High Growth,0.7393740467788319,,,,
Fixed Income,Externally,WELLINGTON MANAGEMENT AUSTRALIA PTY LTD,25760332.0,0.51,-,-,,Rest,High Growth,0.5126223659910076,,,,
