Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Fixed Income,Internally,PUMA SERIES 2023-1,956130.0,0.06,-,-,,Rest,Balanced,0.0555835230104899,,,,
Fixed Income,Internally,NORTHERN TERRITORY TREASURY CORP.,950071.0,0.05,-,-,,Rest,Balanced,0.0552312899815916,,,,
Fixed Income,Internally,INTER-AMERICAN DEVELOPMENT BANK,869256.0,0.05,-,-,,Rest,Balanced,0.0505332024703821,,,,
Fixed Income,Internally,AUSTRALIAN CAPITAL TERRITORY,675133.0,0.04,-,-,,Rest,Balanced,0.0392480840896542,,,,
Fixed Income,Internally,TORONTO-DOMINION BANK,634862.0,0.04,-,-,,Rest,Balanced,0.0369069756052897,,,,
Fixed Income,Internally,RABOBANK UA/AU,616745.0,0.04,-,-,,Rest,Balanced,0.0358537645499091,,,,
Fixed Income,Internally,LION TRUST,487589.0,0.03,-,-,,Rest,Balanced,0.0283454283425494,,,,
Fixed Income,Internally,LANDWIRTSCHAFTLICHE RENTENBANK,399323.0,0.02,-,-,,Rest,Balanced,0.0232141854759477,,,,
Fixed Income,Internally,PROGRESS TRUST,387556.0,0.02,-,-,,Rest,Balanced,0.0225301244013402,,,,
Fixed Income,Internally,KREDITANSTALT FUER WIEDERAUFBAU,373451.0,0.02,-,-,,Rest,Balanced,0.0217101463731819,,,,
Fixed Income,Internally,INTERNATIONAL FINANCE CORP.,369015.0,0.02,-,-,,Rest,Balanced,0.0214522645913379,,,,
Fixed Income,Internally,MEDALLION TRUST,361659.0,0.02,-,-,,Rest,Balanced,0.0210246319521935,,,,
Fixed Income,Internally,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,354729.0,0.02,-,-,,Rest,Balanced,0.0206217643353812,,,,
Fixed Income,Internally,ASIAN DEVELOPMENT BANK,343136.0,0.02,-,-,,Rest,Balanced,0.0199478185515855,,,,
Fixed Income,Internally,KOMMUNALBANKEN AS,288109.0,0.02,-,-,,Rest,Balanced,0.0167488868993016,,,,
Fixed Income,Internally,HOUSING AUSTRALIA,273807.0,0.02,-,-,,Rest,Balanced,0.015917456501661,,,,
Fixed Income,Internally,EUROPEAN INVESTMENT BANK,261306.0,0.02,-,-,,Rest,Balanced,0.0151907251773075,,,,
Fixed Income,Internally,WESTPAC SECURITISATION TRUST,257569.0,0.01,-,-,,Rest,Balanced,0.0149734789602762,,,,
Fixed Income,Internally,KINGFISHER TRUST,254527.0,0.01,-,-,,Rest,Balanced,0.0147966357726365,,,,
Fixed Income,Internally,NATIONAL RMBS TRUST,249450.0,0.01,-,-,,Rest,Balanced,0.0145014901895837,,,,
Fixed Income,Internally,REDS TRUST,219381.0,0.01,-,-,,Rest,Balanced,0.0127534632963763,,,,
Fixed Income,Internally,TORRENS TRUST,186491.0,0.01,-,-,,Rest,Balanced,0.0108414407975372,,,,
Fixed Income,Internally,CNH INDUSTRIAL CAPITAL AUSTRALIA RECEIVABLES TRUST,38288.0,0.0,-,-,,Rest,Balanced,0.0022258290494238,,,,
Fixed Income,Externally,UBS ASSET MANAGEMENT (AUSTRALIA) LIMITED,205345742.0,11.84,-,-,,Rest,Balanced,11.937539639550204,,,,
Fixed Income,Externally,BARINGS LLC,30866238.0,1.78,-,-,,Rest,Balanced,1.7943734116911507,,,,
Fixed Income,Externally,"AP KENT MANAGEMENT, LLC",19271412.0,1.11,-,-,,Rest,Balanced,1.120321475475754,,,,
Fixed Income,Externally,WELLINGTON MANAGEMENT AUSTRALIA PTY LTD,13361234.0,0.77,-,-,,Rest,Balanced,0.7767400431819323,,,,
Fixed Income,Externally,BENTHAM ASSET MANAGEMENT PTY LTD,11873853.0,0.68,-,-,,Rest,Balanced,0.69027285144141,,,,
Fixed Income,Externally,METRICS CREDIT PARTNERS PTY LTD,11325661.0,0.65,-,-,,Rest,Balanced,0.6584043370697592,,,,
Fixed Income,Externally,HAYFIN MANAGEMENT LIMITED,4960033.0,0.29,-,-,,Rest,Balanced,0.2883458404069421,,,,
Fixed Income,Externally,"BAIN CAPITAL CREDIT, LP",2215831.0,0.13,-,-,,Rest,Balanced,0.1288147985900003,,,,
