Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARHG,High Growth,Cash,,,Citibank NA,Name of Institution,United States Dollar,,,,,,,22164.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,204748026.0,0.53,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Commonwealth Bank of Australia,Name of Institution,United Kingdom Pound,,,,,,,588224.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Commonwealth Bank of Australia/London,Name of Institution,United Kingdom Pound,,,,,,,294112.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Cooperatieve Rabobank UA,Name of Institution,Australia Dollar,,,,,,,5847671.0,0.02,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Export-Import Bank of Korea,Name of Institution,United States Dollar,,,,,,,1744599.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,19923420.0,0.05,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Goldman Sachs International,Name of Institution,United States Dollar,,,,,,,227806.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,1803002.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-226887.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-228885.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Czech Republic Koruna,,,,,,,9304.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,829601.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,315954.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Korea (South) Won,,,,,,,-26367.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Mexico Peso,,,,,,,-50558.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,New Zealand Dollar,,,,,,,893.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Norway Krone,,,,,,,33173.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Sweden Krona,,,,,,,37146.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,United Kingdom Pound,,,,,,,1663219.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,6235556.0,0.02,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,18822714.0,0.05,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,292900.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,2253875.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities PLC,Name of Institution,Hong Kong Dollar,,,,,,,232832.0,0.0,,,,,,,nan,nan
